Molecule_ID,ext,External_ID,Gene,Name,Source_acc,Regulation_case.control,Validation,Scores
A267H,,MARH1_HUMAN,Mar-01;RNF171,E3 ubiquitin-protein ligase MARCH1,A_24_P354412,ratio: 0.21,ratio_log2fc: -2.28,,p-value: 0.013999
A267H,,MARH1_HUMAN,Mar-01;RNF171,E3 ubiquitin-protein ligase MARCH1,A_24_P188800,ratio: 0.19,ratio_log2fc: -2.41,,p-value: 0.013999
A2686,,ZN432_HUMAN,ZNF432,Zinc finger protein 432,A_24_P65658,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A2688,,HKR1_HUMAN,HKR1;ZNF875,Krueppel-related zinc finger protein 1,A_23_P429020,ratio: 5.62,ratio_log2fc: 2.49,,p-value: 0.007752
A268F,,AIM2_HUMAN,AIM2,Interferon-inducible protein AIM2,A_32_P44394,ratio: 0.12,ratio_log2fc: -3.12,,p-value: 0.011271
A268G,,ENDOV_HUMAN,ENDOV,Putative Endonuclease FLJ39025,A_24_P361457,ratio: 4.37,ratio_log2fc: 2.13,,p-value: 0.013999
A268H,,MARH4_HUMAN,Mar-04;RNF174,E3 ubiquitin-protein ligase MARCH4 precursor,A_23_P333228,ratio: 0.16,ratio_log2fc: -2.69,,p-value: 0.013999
A2691,,PRDM7_HUMAN,PRDM7;PFM4;PRDM7_V3,Probable Histone-lysine N-methyltransferase PRDM7,A_24_P86246,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A2691,,PRDM7_HUMAN,PRDM7;PFM4;PRDM7_V3,Probable Histone-lysine N-methyltransferase PRDM7,A_24_P217628,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A269F,,AIPL1_HUMAN,AIPL1;AIPL2,Aryl-hydrocarbon interacting protein-like 1,A_23_P100931,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A269H,,MARH6_HUMAN,Mar-06;RNF176;TEB4,E3 ubiquitin-protein ligase MARCH6,A_32_P465938,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A2706,,RBAK_HUMAN,RBAK;ZNF769,RB-associated KRAB repressor,A_24_P72394,ratio: 0.19,ratio_log2fc: -2.39,,p-value: 0.013999
A2708,,ZFP37_HUMAN,ZFP37,Zinc finger protein 37 homolog,A_23_P254025,ratio: 0.26,ratio_log2fc: -1.92,,p-value: 0.013999
A270C,,OSBL6_HUMAN,OSBPL6;ORP6,Oxysterol binding protein-related protein 6,A_32_P234378,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A270H,X,MARH7_HUMAN,Mar-07;AXOT;RNF177,Axotrophin,A_23_P102242,ratio: 0.29,ratio_log2fc: -1.77,,p-value: 0.014042
A2711,,ZN267_HUMAN,ZNF267,Zinc finger protein 267,A_23_P66260,ratio: 0.24,ratio_log2fc: -2.08,,p-value: 0.013999
A271H,,MAS_HUMAN,MAS1;MAS,MAS proto-oncogene,A_23_P168339,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A271J,,IMA6_HUMAN,KPNA5,Importin alpha-6 subunit,A_23_P156443,ratio: 0.14,ratio_log2fc: -2.80,,p-value: 0.013999
A272B,,ZN729_HUMAN,ZNF729,Zinc finger protein 729,A_24_P126491,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A2736,,ZN788_HUMAN,ZNF788,Zinc finger protein 788,A_24_P945298,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A2738,,ZNF14_HUMAN,ZNF14;GIOT4;KOX6,Zinc finger protein 14,A_23_P101811,ratio: 0.27,ratio_log2fc: -1.89,,p-value: 0.013999
A273K,,CST1L_HUMAN,CSTL1;RCET11,Cystatin-like 1 precursor,A_23_P210807,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.014348
A2747,,ZN136_HUMAN,ZNF136;HZF16,Zinc finger protein 136,A_23_P147121,ratio: 0.37,ratio_log2fc: -1.42,,p-value: 0.015077
A274A,,CBX2_HUMAN,CBX2,Chromobox protein homolog 2,A_23_P353567,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A274C,,OSBP2_HUMAN,OSBP2;ORP4;OSBPL4,Oxysterol-binding protein 2,A_23_P57474,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A274E,,S100P_HUMAN,S100P;S100E,S-100P protein,A_23_P58266,ratio: 92.35,ratio_log2fc: 6.53,,p-value: 0.001187
A275F,,AKP8L_HUMAN,AKAP8L;NAKAP95;HAP95,A-kinase anchor protein 8-like,A_23_P153767,ratio: 3.43,ratio_log2fc: 1.78,,p-value: 0.014052
A275G,,EPGN_HUMAN,EPGN;UNQ3072/PRO9904;UNQ3072,EPIGEN protein,A_24_P205994,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A276D,,SPXN_HUMAN,,Spenix,A_23_P322086,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A276K,,ZN281_HUMAN,ZNF281;GZP1;ZBP99,Zinc finger protein 281,A_32_P68736,ratio: 0.18,ratio_log2fc: -2.47,,p-value: 0.015306
A2773,,ZN382_HUMAN,ZNF382,Zinc finger protein 382,A_23_P16354,ratio: 0.23,ratio_log2fc: -2.14,,p-value: 0.013367
A277F,,AKTS1_HUMAN,AKT1S1;PRAS40,Proline-rich AKT1 substrate 1,A_23_P153502,ratio: 3.86,ratio_log2fc: 1.95,,p-value: 0.013999
A2781,,ZFP30_HUMAN,ZFP30;ZNF745,Zinc finger protein 30 homolog,A_23_P119735,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A2781,,ZFP30_HUMAN,ZFP30;ZNF745,Zinc finger protein 30 homolog,A_23_P119732,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A278F,,AL2CL_HUMAN,ALS2CL,ALS2 C-terminal-like protein,A_32_P420009,ratio: 7.3,ratio_log2fc: 2.87,,p-value: 0.004374
A278I,,S35F4_HUMAN,SLC35F4,Solute carrier family 35;member F4,A_23_P163075,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A279I,,S35F5_HUMAN,SLC35F5;NS5ATP3;UNQ2545/PRO6097,Solute carrier family 35 member F5,A_23_P361569,ratio: 0.21,ratio_log2fc: -2.28,,p-value: 0.013999
A2804,,ZN431_HUMAN,ZNF431,Zinc finger protein 431,A_24_P177568,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A2811,,ZN429_HUMAN,ZNF429;HZF26,Zinc finger protein 429,A_32_P106944,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.013999
A2816,,ZN681_HUMAN,ZNF681,Zinc finger protein 681,A_32_P167904,ratio: 0.34,ratio_log2fc: -1.54,,p-value: 0.013999
A2818,,ZN528_HUMAN,ZNF528,Zinc finger protein 528,A_23_P414713,ratio: 0.23,ratio_log2fc: -2.15,,p-value: 0.00878
A281G,,EPYC_HUMAN,EPYC;DSPG3;PGLB,Dermatan sulfate proteoglycan 3 precursor,A_23_P87678,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A281H,,MBOA4_HUMAN,MBOAT4;GOAT;OACT4,Ghrelin O-acyltransferase,A_24_P306824,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A2820,,ZN701_HUMAN,ZNF701,Zinc finger protein 701,A_23_P130444,ratio: 0.32,ratio_log2fc: -1.64,,p-value: 0.013999
A283H,,MBTP2_HUMAN,MBTPS2;S2P,Membrane-bound transcription factor site 2 protease,A_24_P213856,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A283K,,AKND1_HUMAN,AKNAD1,Uncharacterized protein C1ORF62,A_23_P337292,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A2842,,ZN569_HUMAN,ZNF569,Zinc finger protein 569,A_23_P131128,ratio: 0.29,ratio_log2fc: -1.80,,p-value: 0.013999
A2844,,OZF_HUMAN,ZNF146;OZF,Zinc finger protein 146,A_24_P159845,ratio: 0.26,ratio_log2fc: -1.95,,p-value: 0.013999
A2849,,ZFP90_HUMAN,ZFP90;ZNF756;FIK,Zinc finger protein 90 homolog,A_24_P176409,ratio: 0.27,ratio_log2fc: -1.90,,p-value: 0.012904
A2849,,ZFP90_HUMAN,ZFP90;ZNF756;FIK,Zinc finger protein 90 homolog,A_24_P176404,ratio: 0.32,ratio_log2fc: -1.64,,p-value: 0.014348
A284K,,ZER1_HUMAN,ZER1;ZYG;ZYG11BL,Protein ZER-1 homolog,A_24_P170826,ratio: 4.05,ratio_log2fc: 2.02,,p-value: 0.013999
A2851,,Z286A_HUMAN,ZNF286A;ZNF286,Zinc finger protein 286,A_23_P89327,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A2852,,Z354C_HUMAN,ZNF354C;KID3,Zinc finger protein 354C,A_23_P424126,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A2858,,ZN311_HUMAN,ZNF311;ZFP31;ZF31,Zinc finger protein 311,A_24_P152911,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.014395
A285A,,CENPA_HUMAN,CENPA,Histone H3-like centromeric protein A,A_24_P413884,ratio: 0.13,ratio_log2fc: -2.90,,p-value: 0.013999
A285E,X,SBNO1_HUMAN,SBNO1;MOP3;MOP-3,Protein Strawberry Notch homolog 1,A_24_P830696,ratio: 0.28,ratio_log2fc: -1.82,,p-value: 0.013999
A286D,,DCDC1_HUMAN,DCDC1,Doublecortin domain-containing protein 1,A_24_P117663,ratio: 0.15,ratio_log2fc: -2.74,,p-value: 0.013999
A286H,,MCAF2_HUMAN,ATF7IP2;MCAF2,Activating transcription factor 7 interacting protein 2,A_24_P341987,ratio: 0.13,ratio_log2fc: -2.97,,p-value: 0.013999
A286J,,NXPH4_HUMAN,NXPH4;NPH4;UNQ1928/PRO4403,Neurexophilin 4 precursor,A_24_P196188,ratio: 0.15,ratio_log2fc: -2.69,,p-value: 0.014604
A2875,,ZN669_HUMAN,ZNF669,Zinc finger protein 669,A_23_P86386,ratio: 0.17,ratio_log2fc: -2.56,,p-value: 0.01402
A287A,,CENPH_HUMAN,CENPH;ICEN35;CENP-H,Centromere protein H,A_23_P110802,ratio: 0.15,ratio_log2fc: -2.76,,p-value: 0.009482
A287C,,PITM1_HUMAN,PITPNM1;DRES9;NIR2,Membrane-associated phosphatidylinositol transfer protein 1,A_23_P1519,ratio: 5.51,ratio_log2fc: 2.46,,p-value: 0.013999
A287E,,SCOC_HUMAN,SCOC;SCOCO,Short coiled-coil protein SCOCO,A_23_P167293,ratio: 0.3,ratio_log2fc: -1.73,,p-value: 0.014447
A2887,,ZN578_HUMAN,ZNF578,Zinc finger protein 578,A_23_P339601,ratio: 0.25,ratio_log2fc: -2.00,,p-value: 0.013999
A288A,,CENPI_HUMAN,CENPI;FSHPRH1;ICEN19,Centromere protein I,A_23_P252292,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A288A,,CENPI_HUMAN,CENPI;FSHPRH1;ICEN19,Centromere protein I,A_24_P419132,ratio: 0.15,ratio_log2fc: -2.73,,p-value: 0.013999
A288D,,DDI1_HUMAN,DDI1,DDI1 homolog 1,A_23_P116145,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A288F,,ALKB4_HUMAN,ALKBH4;ABH4,Alkylated DNA repair protein ALKB homolog 4,A_23_P255523,ratio: 3.64,ratio_log2fc: 1.87,,p-value: 0.015019
A2902,,ZN649_HUMAN,ZNF649,Zinc finger protein 649,A_23_P208208,ratio: 0.36,ratio_log2fc: -1.46,,p-value: 0.014812
A290D,,DEFI8_HUMAN,DEF8,Differentially expressed in FDCP 8 homolog,A_24_P49411,ratio: 4.76,ratio_log2fc: 2.25,,p-value: 0.013999
A290H,,MCM9_HUMAN,MCM9;MCMDC1,DNA helicase MCM9,A_23_P30630,ratio: 0.18,ratio_log2fc: -2.48,,p-value: 0.007406
A290K,,FGF19_HUMAN,FGF19;UNQ334/PRO533,Fibroblast growth factor-19 precursor,A_23_P427587,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A2913,,MZF1_HUMAN,MZF1;MZF;ZNF42,Zinc finger protein 42,A_23_P130455,ratio: 3.7,ratio_log2fc: 1.89,,p-value: 0.013999
A292C,X,PO210_HUMAN,NUP210,Nuclear pore membrane glycoprotein 210,A_24_P282000,ratio: 5.72,ratio_log2fc: 2.52,,p-value: 0.013999
A292C,X,PO210_HUMAN,NUP210,Nuclear pore membrane glycoprotein 210,A_23_P212159,ratio: 3.59,ratio_log2fc: 1.84,,p-value: 0.01421
A292F,,AMER3_HUMAN,AMER3;FAM123C,APC membrane recruitment protein 3,A_24_P37355,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A293F,X,AMERL_HUMAN,AMMECR1L,AMMECR1-like protein,A_23_P209760,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A2944,X,ZN426_HUMAN,ZNF426,Zinc finger protein 426,A_23_P101351,ratio: 0.31,ratio_log2fc: -1.69,,p-value: 0.013999
A294E,,SELO_HUMAN,SELO,Selenoprotein O,A_24_P49322,ratio: 10.25,ratio_log2fc: 3.36,,p-value: 0.003069
A294E,,SELO_HUMAN,SELO,Selenoprotein O,A_23_P341065,ratio: 7.48,ratio_log2fc: 2.90,,p-value: 0.008581
A294E,,SELO_HUMAN,SELO,Selenoprotein O,A_24_P341853,ratio: 3.19,ratio_log2fc: 1.67,,p-value: 0.013999
A294H,X,MD12L_HUMAN,MED12L;TNRC11L;TRALP,Mediator of RNA polymerase II transcription subunit 12 like protein,A_32_P701268,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.013999
A294I,,S41A2_HUMAN,SLC41A2,Solute carrier family 41 member 2,A_23_P204801,ratio: 0.25,ratio_log2fc: -2.00,,p-value: 0.012654
A294J,,S6A20_HUMAN,SLC6A20;SIT1;XT3,Sodium- and chloride-dependent transporter XTRP3,A_24_P20369,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A295F,,AMGO3_HUMAN,AMIGO3;ALI3;UNQ6084/PRO20089,Amphoterin-induced gene and ORF 3,A_23_P92202,ratio: 5.36,ratio_log2fc: 2.42,,p-value: 0.012654
A2970,,ZIM3_HUMAN,ZIM3;ZNF657,Zinc finger imprinted 3,A_23_P67103,ratio: 0.17,ratio_log2fc: -2.60,,p-value: 0.013999
A2971,,ZNF19_HUMAN,ZNF19;KOX12,Zinc finger protein 19,A_24_P147252,ratio: 0.3,ratio_log2fc: -1.75,,p-value: 0.013999
A297G,,EVI2B_HUMAN,EVI2B;EVDB,Protein EVI2B,A_23_P66694,ratio: 0.19,ratio_log2fc: -2.41,,p-value: 0.013999
A2981,,ZNF8_HUMAN,ZNF8,Zinc finger protein 8,A_23_P130470,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.013999
A298B,,ZSCA4_HUMAN,ZSCAN4;ZNF494,Zinc finger and SCAN domain-containing protein 4,A_23_P430090,ratio: 0.16,ratio_log2fc: -2.65,,p-value: 0.013999
A298B,,ZSCA4_HUMAN,ZSCAN4;ZNF494,Zinc finger and SCAN domain-containing protein 4,A_24_P185368,ratio: 0.18,ratio_log2fc: -2.50,,p-value: 0.014955
A298E,,SEMG1_HUMAN,SEMG1;SEMG,Semenogelin-1,A_23_P165968,ratio: 0.16,ratio_log2fc: -2.63,,p-value: 0.013999
A298J,,TM156_HUMAN,TMEM156,Transmembrane protein 156,A_23_P92334,ratio: 0.15,ratio_log2fc: -2.75,,p-value: 0.013999
A2996,,ZN500_HUMAN,ZNF500;ZKSCAN18,Zinc finger protein 500,A_24_P126305,ratio: 4.09,ratio_log2fc: 2.03,,p-value: 0.013999
A299D,X,DNHD1_HUMAN,DNHD1;CCDC35;DHCD1,Dynein heavy chain domain-containing protein 1,A_24_P943352,ratio: 0.16,ratio_log2fc: -2.68,,p-value: 0.013999
A299J,,TM196_HUMAN,TMEM196,Transmembrane protein 196,A_23_P416821,ratio: 0.15,ratio_log2fc: -2.76,,p-value: 0.013999
A3016,,ZN768_HUMAN,ZNF768,Zinc finger protein 768,A_23_P15218,ratio: 14.18,ratio_log2fc: 3.83,,p-value: 0.003182
A301K,,NXPE3_HUMAN,NXPE3;FAM55C;MSTP115,Protein FAM55C precursor,A_23_P132560,ratio: 0.25,ratio_log2fc: -1.99,,p-value: 0.013999
A302G,,EZH1_HUMAN,EZH1,Histone-lysine N-methyltransferase EZH1,A_23_P428219,ratio: 4.05,ratio_log2fc: 2.02,,p-value: 0.013999
A303E,,SG11A_HUMAN,SPAG11A;EP2;HE2,Sperm-associated antigen 11A precursor,A_23_P324319,ratio: 0.17,ratio_log2fc: -2.55,,p-value: 0.014129
A303K,,HERC3_HUMAN,HERC3,Probable E3 ubiquitin-protein ligase HERC3,A_24_P51201,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A303K,,HERC3_HUMAN,HERC3,Probable E3 ubiquitin-protein ligase HERC3,A_24_P153215,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A305H,,MED18_HUMAN,MED18,Mediator complex subunit 18,A_23_P138105,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.012413
A3060,,ZBED2_HUMAN,ZBED2,Zinc finger BED domain containing protein 2,A_23_P113793,ratio: 0.25,ratio_log2fc: -2.01,,p-value: 0.013999
A3067,,ZN597_HUMAN,ZNF597,Zinc finger protein 597,A_24_P378402,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A3068,,ZIC3_HUMAN,ZIC3;ZNF203,Zinc finger protein ZIC 3,A_23_P327910,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A3069,,ZIC1_HUMAN,ZIC1;ZIC;ZNF201,Zinc finger protein ZIC 1,A_32_P86067,ratio: 0.15,ratio_log2fc: -2.78,,p-value: 0.013999
A3069,,ZIC1_HUMAN,ZIC1;ZIC;ZNF201,Zinc finger protein ZIC 1,A_23_P367618,ratio: 0.16,ratio_log2fc: -2.64,,p-value: 0.013999
A306J,,ZDH22_HUMAN,ZDHHC22,Putative Palmitoyltransferase ZDHHC22,A_32_P75243,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A3070,,ZIC2_HUMAN,ZIC2,Zinc finger protein ZIC 2,A_23_P36972,ratio: 0.17,ratio_log2fc: -2.57,,p-value: 0.013999
A3071,,ZIC4_HUMAN,ZIC4,Zinc family member 4 protein HZIC4,A_23_P211711,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A307A,X,CPSF1_HUMAN,P/cl.18;CPSF1;CPSF160,Cleavage and polyadenylation specificity factor subunit 1,A_23_P169112,ratio: 4.97,ratio_log2fc: 2.31,,p-value: 0.009373
A307E,,SG2A2_HUMAN,SCGB2A2;MGB1;UGB2,Mammaglobin A precursor,A_23_P161940,ratio: 0.14,ratio_log2fc: -2.86,,p-value: 0.013999
A3080,,ZNF76_HUMAN,ZNF76;D6S229E;ZNF523,Zinc finger protein 76,A_23_P8139,ratio: 4.63,ratio_log2fc: 2.21,,p-value: 0.014395
A308A,X,CPSF2_HUMAN,CPSF2;CPSF100,Cleavage and polyadenylation specificity factor subunit 2,A_24_P82074,ratio: 0.19,ratio_log2fc: -2.41,,p-value: 0.014838
A3092,,ZFP1_HUMAN,ZFP1;ZNF475,Zinc finger protein 1 homolog,A_24_P270747,ratio: 0.21,ratio_log2fc: -2.28,,p-value: 0.013999
A3094,,KLF11_HUMAN,KLF11;FKLF;TIEG2,Transforming growth factor-beta-inducible early growth response protein 2,A_23_P319512,ratio: 0.32,ratio_log2fc: -1.64,,p-value: 0.013999
A309B,X,APMAP_HUMAN,APMAP;UNQ1869/PRO4305;UNQ1869,Adipocyte plasma membrane-associated protein,A_24_P297078,ratio: 4.32,ratio_log2fc: 2.11,,p-value: 0.013196
A309E,,SH24B_HUMAN,SH2D4B,SH2 domain-containing protein 4B,A_24_P273489,ratio: 0.13,ratio_log2fc: -2.96,,p-value: 0.013999
A309E,,SH24B_HUMAN,SH2D4B,SH2 domain-containing protein 4B,A_24_P417904,ratio: 0.15,ratio_log2fc: -2.70,,p-value: 0.013999
A3101,,SP7_HUMAN,SP7;OSX,Transcription factor Sp7,A_23_P317729,ratio: 0.16,ratio_log2fc: -2.62,,p-value: 0.013999
A3108,,KLF2_HUMAN,KLF2;LKLF,Kruppel-like factor 2,A_23_P119196,ratio: 0.3,ratio_log2fc: -1.72,,p-value: 0.013999
A311F,,ANKUB_HUMAN,ANKUB1,Hypothetical protein,A_24_P340954,ratio: 0.18,ratio_log2fc: -2.50,,p-value: 0.014798
A311G,,F115A_HUMAN,FAM115A,Protein FAM115A,A_24_P368023,ratio: 0.24,ratio_log2fc: -2.07,,p-value: 0.013999
A3122,,NFAC2_HUMAN,NFATC2;NFAT1;NFATP,Nuclear factor of activated T-cells;cytoplasmic 2,A_24_P525917,ratio: 0.26,ratio_log2fc: -1.92,,p-value: 0.013999
A3126,,EGR2_HUMAN,EGR2;KROX20,Early growth response protein 2,A_23_P46936,ratio: 0.12,ratio_log2fc: -3.05,,p-value: 0.009511
A3127,,EGR3_HUMAN,PILOT;EGR3,Early growth response protein 3,A_23_P216225,ratio: 0.17,ratio_log2fc: -2.58,,p-value: 0.013999
A312C,,RAB17_HUMAN,RAB17,Ras-related protein Rab-17,A_23_P5778,ratio: 10.6,ratio_log2fc: 3.41,,p-value: 0.012871
A312H,,MEDAG_HUMAN,MEDAG;AWMS3;HAWMS3,Hypothetical protein,A_24_P90597,ratio: 0.16,ratio_log2fc: -2.60,,p-value: 0.013999
A3138,,ZN844_HUMAN,ZNF844,Zinc finger protein 844,A_24_P110743,ratio: 0.14,ratio_log2fc: -2.81,,p-value: 0.013999
A313B,X,ARMX4_HUMAN,ARMCX4,Armadillo repeat-containing X-linked protein 4,A_24_P374375,ratio: 0.15,ratio_log2fc: -2.70,,p-value: 0.013999
A313K,,SNX22_HUMAN,SNX22,Sorting nexin 22,A_24_P375421,ratio: 4.41,ratio_log2fc: 2.14,,p-value: 0.013999
A314J,,ZFN2B_HUMAN,ZFAND2B;AIRAPL,AN1-type zinc finger protein 2B,A_23_P131299,ratio: 5.29,ratio_log2fc: 2.40,,p-value: 0.013999
A314K,,SNX21_HUMAN,SNX21;SNXL;PP3993,Sorting nexin 21,A_24_P117177,ratio: 6.32,ratio_log2fc: 2.66,,p-value: 0.013999
A3152,,REPI1_HUMAN,REPIN1;RIP60;ZNF464,Replication initiator 1,A_24_P166645,ratio: 5.62,ratio_log2fc: 2.49,,p-value: 0.014569
A315K,,SO5A1_HUMAN,SLCO5A1;SLC21A15;OATP5A1,Solute carrier organic anion transporter family member 5A1,A_32_P372878,ratio: 0.17,ratio_log2fc: -2.59,,p-value: 0.013999
A3163,,KAT8_HUMAN,KAT8;MOF;MYST1,Histone acetyltransferase MYST1,A_23_P100478,ratio: 3.05,ratio_log2fc: 1.61,,p-value: 0.013999
A316A,,CREB3_HUMAN,CREB3;LZIP,Transcription factor LZIP,A_23_P423389,ratio: 4.42,ratio_log2fc: 2.14,,p-value: 0.013999
A316D,,TEX33_HUMAN,TEX33;EAN57,Testis-expressed sequence 33 protein,A_32_P93419,ratio: 0.17,ratio_log2fc: -2.52,,p-value: 0.014267
A316F,,ANO4_HUMAN,ANO4;TMEM16D,Anoctamin-4,A_23_P409093,ratio: 0.16,ratio_log2fc: -2.61,,p-value: 0.013999
A316J,,ZGPAT_HUMAN,ZGPAT;GPATC6;GPATCH6,Zinc finger;CCCH-type with G patch domain,A_24_P96325,ratio: 14.71,ratio_log2fc: 3.88,,p-value: 0.008282
A3171,,MBTD1_HUMAN,MBTD1,MBT domain-containing protein 1,A_23_P107238,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.014008
A3172,X,SCML2_HUMAN,SCML2,Sex Comb on midleg-like protein 2,A_24_P143118,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A3174,,SCMH1_HUMAN,SCMH1,Sex comb on midleg-like 1,A_23_P12477,ratio: 5.56,ratio_log2fc: 2.48,,p-value: 0.010872
A3175,,SCML4_HUMAN,SCML4,Sex comb on midleg-like protein 4,A_24_P930756,ratio: 0.17,ratio_log2fc: -2.60,,p-value: 0.013999
A3178,,PHC2_HUMAN,PHC2;HPH2;EDR2,Polyhomeotic-like protein 2,A_23_P34510,ratio: 3.66,ratio_log2fc: 1.87,,p-value: 0.013999
A3182,,SAM11_HUMAN,SAMD11,Sterile alpha motif domain-containing protein 11,A_24_P402510,ratio: 5.64,ratio_log2fc: 2.49,,p-value: 0.009147
A318A,X,CRML_HUMAN,CRAMP1L;HN1L,Cramped 1-like,A_23_P407992,ratio: 0.16,ratio_log2fc: -2.66,,p-value: 0.015278
A318D,X,ECHD3_HUMAN,ECHDC3;PP1494;PP8332,Enoyl coenzyme A hydratase domain containing 3,A_24_P343621,ratio: 15.26,ratio_log2fc: 3.93,,p-value: 0.008798
A318E,,SHLB2_HUMAN,SH3GLB2;PP578;PP9455,SH3 domain GRB2-like endophilin B2,A_24_P386334,ratio: 7.34,ratio_log2fc: 2.88,,p-value: 0.006479
A318E,,SHLB2_HUMAN,SH3GLB2;PP578;PP9455,SH3 domain GRB2-like endophilin B2,A_23_P216996,ratio: 7.35,ratio_log2fc: 2.88,,p-value: 0.007928
A318I,,SAMD3_HUMAN,SAMD3,Sterile alpha motif domain-containing protein 3,A_23_P397937,ratio: 0.13,ratio_log2fc: -2.97,,p-value: 0.013999
A319J,,ZMAT3_HUMAN,WIG1;ZMAT3;PAG608,Zinc finger MATRIN-type protein 3,A_23_P113283,ratio: 0.19,ratio_log2fc: -2.39,,p-value: 0.01054
A3205,,TPM3_HUMAN,TPM3,Tropomyosin alpha 3 chain,A_24_P161244,ratio: 0.35,ratio_log2fc: -1.53,,p-value: 0.013999
A3206,,IKIP_HUMAN,IKBIP;IKIP;IKIP2,Inhibitor of nuclear factor kappa-B kinase-interacting protein,A_23_P303210,ratio: 0.13,ratio_log2fc: -2.99,,p-value: 0.005903
A3206,,IKIP_HUMAN,IKBIP;IKIP;IKIP2,Inhibitor of nuclear factor kappa-B kinase-interacting protein,A_23_P53467,ratio: 0.26,ratio_log2fc: -1.94,,p-value: 0.013999
A320D,,EFCB1_HUMAN,EFCAB1,EF-hand calcium-binding domain-containing protein 1,A_24_P415090,ratio: 0.16,ratio_log2fc: -2.67,,p-value: 0.013999
A320H,,MEPCE_HUMAN,BCDIN3;MEPCE,7SK snRNA methylphophate capping enzyme,A_24_P312189,ratio: 5.29,ratio_log2fc: 2.40,,p-value: 0.010687
A321A,,CRY1_HUMAN,CRY1;PHLL1,Cryptochrome 1,A_23_P36665,ratio: 0.28,ratio_log2fc: -1.86,,p-value: 0.013999
A3225,,BC11B_HUMAN,BCL11B;CTIP2;RIT1,Zinc finger protein hRit1 alpha,A_23_P205738,ratio: 0.27,ratio_log2fc: -1.91,,p-value: 0.013999
A3226,,BC11A_HUMAN,BCL11A;CTIP1;EVI9,B-cell lymphoma/leukemia 11A,A_23_P218584,ratio: 0.15,ratio_log2fc: -2.76,,p-value: 0.013999
A3226,,BC11A_HUMAN,BCL11A;CTIP1;EVI9,B-cell lymphoma/leukemia 11A,A_24_P411186,ratio: 0.15,ratio_log2fc: -2.69,,p-value: 0.013999
A3230,,MYNN_HUMAN,MYNN;OSZF;ZBTB31,Zinc finger protein SBBIZ1,A_24_P260254,ratio: 0.17,ratio_log2fc: -2.54,,p-value: 0.014163
A3232,,ZN276_HUMAN,ZNF276;ZFP276;ZNF477,Zinc finger protein 276,A_23_P163630,ratio: 3.3,ratio_log2fc: 1.72,,p-value: 0.013999
