Gene_Name	CKDdb_num_of_studies	CKDdb_Disease
FGR	6	Glomerulonephritis, Nephrosclerosis, Diabetes, AKI (lupus nephritis, glomerulosclerosis, diabetic nephropathy, AKI)
FHIT	6	Diabetes, cisplatin_induced, Chronic_Renal_Insufficiency (diabetic nephropathy, cisplatin-induced nephrotoxicity, CKD)
FHL2	6	Dialysis, AKI, Glomerulonephritis, Diabetes, Puromycin_induced (hemodialysis, AKI, Thy_1_nephritis, diabetic kidney disease, Puromycin nephropathy model)
DRAL	6	Dialysis, AKI, Glomerulonephritis, Diabetes, Puromycin_induced (hemodialysis, AKI, Thy_1_nephritis, diabetic kidney disease, Puromycin nephropathy model)
SLIM3	6	Dialysis, AKI, Glomerulonephritis, Diabetes, Puromycin_induced (hemodialysis, AKI, Thy_1_nephritis, diabetic kidney disease, Puromycin nephropathy model)
FKBP4	6	Chronic_Renal_Insufficiency, ureteral_obstruction, AKI, Vasopressine_induced, Diabetes (Chronic kidney disease, unilateral ureteral obstruction, AKI, Vasopressine in vitro model, diabetic retinopathy, CKD)
FKBP52	6	Chronic_Renal_Insufficiency, ureteral_obstruction, AKI, Vasopressine_induced, Diabetes (Chronic kidney disease, unilateral ureteral obstruction, AKI, Vasopressine in vitro model, diabetic retinopathy, CKD)
FLG	6	Dialysis, Polycystic_Kidney_Disease, Nephrotic_Syndrome, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic Kidney disease, paediatric idiopathic nephrotic syndrome, CKD)
FLRT3	6	Diabetes, Glomerulonephritis, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, FSGS + COLL, AKI, CKD)
UNQ856/PRO1865	6	Diabetes, Glomerulonephritis, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, FSGS + COLL, AKI, CKD)
UNQ856	6	Diabetes, Glomerulonephritis, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, FSGS + COLL, AKI, CKD)
FMO4	6	AKI, cisplatin_induced, Nephrosclerosis, Diabetes (AKI, cisplatin-induced nephrotoxicity, glomerulosclerosis, diabetic nephropathy)
FMOD	6	Dialysis, healthy, Chronic_Renal_Insufficiency, Diabetes (hemodialysis, healthy, Chronic kidney disease, Peritoneal dialysis, diabetic kidney disease)
FM	6	Dialysis, healthy, Chronic_Renal_Insufficiency, Diabetes (hemodialysis, healthy, Chronic kidney disease, Peritoneal dialysis, diabetic kidney disease)
SLRR2E	6	Dialysis, healthy, Chronic_Renal_Insufficiency, Diabetes (hemodialysis, healthy, Chronic kidney disease, Peritoneal dialysis, diabetic kidney disease)
FRAP1	6	Dialysis, AKI, cisplatin_induced, proteinuria (hemodialysis, AKI, cisplatin-induced nephrotoxicity, proteinuria)
MTOR	6	Dialysis, AKI, cisplatin_induced, proteinuria (hemodialysis, AKI, cisplatin-induced nephrotoxicity, proteinuria)
FRAP	6	Dialysis, AKI, cisplatin_induced, proteinuria (hemodialysis, AKI, cisplatin-induced nephrotoxicity, proteinuria)
FRYL	6	Dialysis, AKI, Diabetes (hemodialysis, AKI, diabetic nephropathy, diabetic kidney disease)
AF4P12	6	Dialysis, AKI, Diabetes (hemodialysis, AKI, diabetic nephropathy, diabetic kidney disease)
FTH1	6	Dialysis, AKI, Diabetes, Glomerulonephritis, Chronic_rejection (hemodialysis, AKI, diabetic nephropathy, membranous nephropathy, Chronic_rejection)
FTH	6	Dialysis, AKI, Diabetes, Glomerulonephritis, Chronic_rejection (hemodialysis, AKI, diabetic nephropathy, membranous nephropathy, Chronic_rejection)
FTHL6	6	Dialysis, AKI, Diabetes, Glomerulonephritis, Chronic_rejection (hemodialysis, AKI, diabetic nephropathy, membranous nephropathy, Chronic_rejection)
G0S2	6	Dialysis, Diabetes, cisplatin_induced, Glomerulonephritis (hemodialysis, diabetic nephropathy, cisplatin-induced nephrotoxicity, diabetic kidney disease, FSGS + COLL)
G3BP2	6	Dialysis, Chronic_Renal_Insufficiency, AKI, ureteral_obstruction (hemodialysis, Chronic kidney disease, AKI, kidney obstruction in vitro model, CKD)
GABPB2	8	Chronic_Renal_Insufficiency, Diabetes, AKI (End-stage renal failure, diabetic nephropathy, AKI, CKD)|AKI, Chronic_Renal_Insufficiency (AKI, CKD)
GALNT5	6	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic nephropathy, AKI, CKD)
GAS6	6	Dialysis, Diabetes, Nephrosclerosis, Polycystic_Kidney_Disease, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, glomerulosclerosis, Autosomal Dominant Polycystic Kidney disease, CKD)
AXLLG	6	Dialysis, Diabetes, Nephrosclerosis, Polycystic_Kidney_Disease, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, glomerulosclerosis, Autosomal Dominant Polycystic Kidney disease, CKD)
FLJ44569	6	Dialysis, Diabetes, Nephrosclerosis, Polycystic_Kidney_Disease, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, glomerulosclerosis, Autosomal Dominant Polycystic Kidney disease, CKD)
GATA3	6	Chronic_Renal_Insufficiency, Polycystic_Kidney_Disease, Nephrosclerosis (Chronic kidney disease, Autosomal Dominant Polycystic kidney disease, glomerulosclerosis)
GDF15	6	Dialysis, AKI, Diabetes, Nephrosclerosis, ureteral_obstruction, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic nephropathy, glomerulosclerosis, unilateral ureteral obstruction, CKD)
MIC1	6	Dialysis, AKI, Diabetes, Nephrosclerosis, ureteral_obstruction, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic nephropathy, glomerulosclerosis, unilateral ureteral obstruction, CKD)
PDF	6	Dialysis, AKI, Diabetes, Nephrosclerosis, ureteral_obstruction, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic nephropathy, glomerulosclerosis, unilateral ureteral obstruction, CKD)
GDPD3	6	Dialysis, Glomerulonephritis, ureteral_obstruction (hemodialysis, Glomerulonephritis, obstructive uropathy, IgA nephropathy)
GLDC	6	Dialysis, remnant_kidney_model, Nephrosclerosis, Diabetes, Puromycin_induced, Gentamicin_induced (hemodialysis, remnant kidney model, glomerulosclerosis, diabetic nephropathy, Puromycin nephropathy model, Gentamicin-induced nephropathy)
GCSP	6	Dialysis, remnant_kidney_model, Nephrosclerosis, Diabetes, Puromycin_induced, Gentamicin_induced (hemodialysis, remnant kidney model, glomerulosclerosis, diabetic nephropathy, Puromycin nephropathy model, Gentamicin-induced nephropathy)
GNAI3	6	Dialysis, Nephrosclerosis, Diabetes, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, glomerulosclerosis, diabetic nephropathy, IgA nephropathy, CKD)
GNPTAB	6	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
GNPTA	6	Diabetes, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, AKI, CKD)
GPR125	6	Dialysis, Polycystic_Kidney_Disease, nephropathies, AKI, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, collagen IV nephropathies, AKI, CKD)
UNQ556/PRO1113	6	Dialysis, Polycystic_Kidney_Disease, nephropathies, AKI, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, collagen IV nephropathies, AKI, CKD)
UNQ556	6	Dialysis, Polycystic_Kidney_Disease, nephropathies, AKI, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, collagen IV nephropathies, AKI, CKD)
GPR126	6	Polycystic_Kidney_Disease, Glomerulonephritis, Diabetes, AKI (Autosomal Dominant Polycystic kidney disease, lupus nephritis, diabetic kidney disease, AKI)
DREG	6	Polycystic_Kidney_Disease, Glomerulonephritis, Diabetes, AKI (Autosomal Dominant Polycystic kidney disease, lupus nephritis, diabetic kidney disease, AKI)
GM222	6	Polycystic_Kidney_Disease, Glomerulonephritis, Diabetes, AKI (Autosomal Dominant Polycystic kidney disease, lupus nephritis, diabetic kidney disease, AKI)
GPR135	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic kidney disease)
HUMNPIIY20	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic kidney disease)
GPR183	6	Dialysis, AKI, Glomerulonephritis, Diabetes (hemodialysis, AKI, lupus nephritis, diabetic kidney disease, diabetic nephropathy, IgA nephropathy (with endocapillary proliferation (E1)))
EBI2	6	Dialysis, AKI, Glomerulonephritis, Diabetes (hemodialysis, AKI, lupus nephritis, diabetic kidney disease, diabetic nephropathy, IgA nephropathy (with endocapillary proliferation (E1)))
GPR65	6	Dialysis, Glomerulonephritis, Diabetes (hemodialysis, lupus nephritis, diabetic kidney disease, IgA nephropathy (with endocapillary proliferation (E1)))
TDAG8	6	Dialysis, Glomerulonephritis, Diabetes (hemodialysis, lupus nephritis, diabetic kidney disease, IgA nephropathy (with endocapillary proliferation (E1)))
GPX7	6	Glomerulonephritis, Diabetes, ureteral_obstruction, Chronic_Renal_Insufficiency (lupus nephritis, diabetic kidney disease, kidney obstruction in vitro model, CKD)
GRIN2B	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic nephropathy, CKD)
NMDAR2B	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes (Chronic kidney disease, hemodialysis, diabetic nephropathy, CKD)
GRL	6	cisplatin_induced, Diabetes, AKI (cisplatin-induced nephrotoxicity, diabetic kidney disease, AKI, pancreatic beta-cell function)
NR3C1	6	cisplatin_induced, Diabetes, AKI (cisplatin-induced nephrotoxicity, diabetic kidney disease, AKI, pancreatic beta-cell function)
GRM1	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes, AKI (Chronic kidney disease, hemodialysis, diabetic kidney disease, AKI)
GPRC1A	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes, AKI (Chronic kidney disease, hemodialysis, diabetic kidney disease, AKI)
MGLUR1	6	Chronic_Renal_Insufficiency, Dialysis, Diabetes, AKI (Chronic kidney disease, hemodialysis, diabetic kidney disease, AKI)
GRPR	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
GSTA2	6	cisplatin_induced, remnant_kidney_model, Diabetes (cisplatin-induced nephrotoxicity, remnant kidney model, diabetic nephropathy)
GSTA4	6	Polycystic_Kidney_Disease, Diabetes, Vasopressine_induced, AKI, Gentamicin_induced (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, Vasopressine in vitro model, diabetic nephropathy in Type 1 diabetes, AKI, Gentamicin-induced nephropathy)
GSTA	6	Polycystic_Kidney_Disease, Diabetes, Vasopressine_induced, AKI, Gentamicin_induced (Autosomal Dominant Polycystic kidney disease, diabetic kidney disease, Vasopressine in vitro model, diabetic nephropathy in Type 1 diabetes, AKI, Gentamicin-induced nephropathy)
GSTM4	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
GST	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
GSTZ1	6	Polycystic_Kidney_Disease, Diabetes, Puromycin_induced (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, Puromycin nephropathy model)
MAAI	6	Polycystic_Kidney_Disease, Diabetes, Puromycin_induced (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, Puromycin nephropathy model)
GTSE1	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
HAGH	6	Dialysis, Polycystic_Kidney_Disease, Diabetes, Fibrosis, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, TGFbeta in vitro model, CKD)
GLO2	6	Dialysis, Polycystic_Kidney_Disease, Diabetes, Fibrosis, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, TGFbeta in vitro model, CKD)
HAGH1	6	Dialysis, Polycystic_Kidney_Disease, Diabetes, Fibrosis, Chronic_Renal_Insufficiency (hemodialysis, Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, TGFbeta in vitro model, CKD)
HDAC5	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
NY-CO-9	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
HECW2	6	remnant_kidney_model, AKI, Chronic_Renal_Insufficiency (remnant kidney model, AKI, CKD)
HERC3	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
HIBCH	6	Chronic_Renal_Insufficiency, AKI, Nephrosclerosis, Diabetes, Fibrosis (Chronic kidney disease, AKI, glomerulosclerosis, Diabetic Nephropathy, Interstitial fibrosis and tubular atrophy)
HIF1A	6	proteinuria, Diabetes, Glomerulonephritis, ureteral_obstruction, Chronic_Renal_Insufficiency (proteinuria, diabetic nephropathy, FSGS + COLL, unilateral ureteral obstruction, CKD)
BHLHE78	6	proteinuria, Diabetes, Glomerulonephritis, ureteral_obstruction, Chronic_Renal_Insufficiency (proteinuria, diabetic nephropathy, FSGS + COLL, unilateral ureteral obstruction, CKD)
MOP1	6	proteinuria, Diabetes, Glomerulonephritis, ureteral_obstruction, Chronic_Renal_Insufficiency (proteinuria, diabetic nephropathy, FSGS + COLL, unilateral ureteral obstruction, CKD)
HLA-DPA1	6	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
HLA-DP1A	6	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
HLASB	6	Dialysis, Diabetes, Nephrosclerosis (hemodialysis, diabetic kidney disease, glomerulosclerosis)
HLA-DRA1	6	Diabetes, Nephrosclerosis, Transplantation, Fibrosis (diabetic kidney disease, glomerulosclerosis, acute renal allograft rejection, Interstitial fibrosis and tubular atrophy)
HNRNPA0	6	Diabetes, Glomerulonephritis, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, FSGS + COLL, AKI, CKD)
HNRPA0	6	Diabetes, Glomerulonephritis, AKI, Chronic_Renal_Insufficiency (diabetic kidney disease, FSGS + COLL, AKI, CKD)
HNRNPA2B1	6	Dialysis, Fibrosis, AKI, Diabetes (hemodialysis, TGFbeta in vitro model, AKI, Interstitial fibrosis and tubular atrophy, type 2 diabetic nephropathy)
HNRPA2B1	6	Dialysis, Fibrosis, AKI, Diabetes (hemodialysis, TGFbeta in vitro model, AKI, Interstitial fibrosis and tubular atrophy, type 2 diabetic nephropathy)
HNRNPDL	6	Dialysis, AKI, Diabetes, Glomerulonephritis (hemodialysis, AKI, diabetic kidney disease, FSGS + COLL)
HNRPDL	6	Dialysis, AKI, Diabetes, Glomerulonephritis (hemodialysis, AKI, diabetic kidney disease, FSGS + COLL)
JKTBP	6	Dialysis, AKI, Diabetes, Glomerulonephritis (hemodialysis, AKI, diabetic kidney disease, FSGS + COLL)
HNRNPU	6	Chronic_Renal_Insufficiency, Dialysis, Vasopressine_induced, Fibrosis (Chronic kidney disease, hemodialysis, Vasopressine in vitro model, Interstitial fibrosis and tubular atrophy, CKD)
HNRPU	6	Chronic_Renal_Insufficiency, Dialysis, Vasopressine_induced, Fibrosis (Chronic kidney disease, hemodialysis, Vasopressine in vitro model, Interstitial fibrosis and tubular atrophy, CKD)
SAFA	6	Chronic_Renal_Insufficiency, Dialysis, Vasopressine_induced, Fibrosis (Chronic kidney disease, hemodialysis, Vasopressine in vitro model, Interstitial fibrosis and tubular atrophy, CKD)
HNRPA1	6	Dialysis, Polycystic_Kidney_Disease, Vasopressine_induced, Fibrosis (hemodialysis, Autosomal Dominant Polycystic kidney disease, Vasopressine in vitro model, Interstitial fibrosis and tubular atrophy)
HNRNPA1	6	Dialysis, Polycystic_Kidney_Disease, Vasopressine_induced, Fibrosis (hemodialysis, Autosomal Dominant Polycystic kidney disease, Vasopressine in vitro model, Interstitial fibrosis and tubular atrophy)
HOMER3	6	Dialysis, Glomerulonephritis, Diabetes, AKI, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, diabetic kidney disease, AKI, CKD)
HPN	6	Diabetes, cisplatin_induced, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic nephropathy, cisplatin-induced nephrotoxicity, glomerulosclerosis, CKD)
TMPRSS1	6	Diabetes, cisplatin_induced, Nephrosclerosis, Chronic_Renal_Insufficiency (diabetic nephropathy, cisplatin-induced nephrotoxicity, glomerulosclerosis, CKD)
HS24/P52	6	Dialysis, cisplatin_induced, Vasopressine_induced, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, Vasopressine in vitro model, IgA nephropathy, CKD)
HSPA4	6	Dialysis, cisplatin_induced, Vasopressine_induced, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, Vasopressine in vitro model, IgA nephropathy, CKD)
APG2	6	Dialysis, cisplatin_induced, Vasopressine_induced, Glomerulonephritis, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, Vasopressine in vitro model, IgA nephropathy, CKD)
HSD11B1	6	Dialysis, cisplatin_induced, Diabetes, Glomerulonephritis (hemodialysis, cisplatin-induced nephrotoxicity, diabetic nephropathy, Passive Heymann nephritis)
HSD11	6	Dialysis, cisplatin_induced, Diabetes, Glomerulonephritis (hemodialysis, cisplatin-induced nephrotoxicity, diabetic nephropathy, Passive Heymann nephritis)
HSD11L	6	Dialysis, cisplatin_induced, Diabetes, Glomerulonephritis (hemodialysis, cisplatin-induced nephrotoxicity, diabetic nephropathy, Passive Heymann nephritis)
IDH2	6	AKI, Vasopressine_induced, Diabetes, High_glucose_induced, Fibrosis, Chronic_Renal_Insufficiency (AKI, Vasopressine in vitro model, diabetic nephropathy in Type 1 diabetes, High glucose in vitro model, Interstitial fibrosis and tubular atrophy, CKD)
IFI202	6	Glomerulonephritis, Transplantation, AKI (lupus nephritis, Allograft Rejection allo. CBA D5, Allograft Rejection iso.CBA D5, AKI)
IFNGR1	6	Diabetes, proteinuria, Nephrosclerosis (diabetic nephropathy, proteinuric nephropathies, diabetic kidney disease, glomerulosclerosis)
IGFBP2	6	Dialysis, Glomerulonephritis, Diabetes, Transplantation (hemodialysis, lupus nephritis, Thy_1_nephritis, diabetic nephropathy, FSGS + COLL, acute renal allograft rejection)
BP2	6	Dialysis, Glomerulonephritis, Diabetes, Transplantation (hemodialysis, lupus nephritis, Thy_1_nephritis, diabetic nephropathy, FSGS + COLL, acute renal allograft rejection)
IBP2	6	Dialysis, Glomerulonephritis, Diabetes, Transplantation (hemodialysis, lupus nephritis, Thy_1_nephritis, diabetic nephropathy, FSGS + COLL, acute renal allograft rejection)
IGFBP6	6	Dialysis, Glomerulonephritis, ureteral_obstruction, Diabetes, Polycystic_Kidney_Disease (hemodialysis, lupus nephritis, renal tubulointerstitial injury, diabetic kidney disease, Autosomal Dominant Polycystic Kidney disease)
IBP6	6	Dialysis, Glomerulonephritis, ureteral_obstruction, Diabetes, Polycystic_Kidney_Disease (hemodialysis, lupus nephritis, renal tubulointerstitial injury, diabetic kidney disease, Autosomal Dominant Polycystic Kidney disease)
IL11	6	Dialysis, Diabetes, ureteral_obstruction, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, diabetic kidney disease, unilateral ureteral obstruction, CKD)
IL2	6	Dialysis, remnant_kidney_model, Chronic_Renal_Insufficiency (hemodialysis, remnant kidney model, Chronic kidney disease, CKD)
IL-2	6	Dialysis, remnant_kidney_model, Chronic_Renal_Insufficiency (hemodialysis, remnant kidney model, Chronic kidney disease, CKD)
INHBB	6	Dialysis, AKI, IAKI, ureteral_obstruction, Diabetes (hemodialysis, AKI, Ischemic acute kidney injury, unilateral ureteral obstruction, diabetic nephropathy)
INPP5K	6	Polycystic_Kidney_Disease, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, glomerulosclerosis, diabetic nephropathy treated with Phlorizin, CKD)
PPS	6	Polycystic_Kidney_Disease, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, glomerulosclerosis, diabetic nephropathy treated with Phlorizin, CKD)
SKIP	9	Polycystic_Kidney_Disease, Diabetes, Nephrosclerosis, Chronic_Renal_Insufficiency (Autosomal Dominant Polycystic kidney disease, diabetic nephropathy, glomerulosclerosis, diabetic nephropathy treated with Phlorizin, CKD)|Diabetes, Vasopressine_induced (diabetic kidney disease, Vasopressine in vitro model)
IQGAP1	6	Diabetes, Nephrosclerosis, Puromycin_induced, Chronic_Renal_Insufficiency (diabetic kidney disease, glomerulosclerosis, Puromycin nephropathy model, CKD)
IRF7	6	AKI, Glomerulonephritis, Diabetes (AKI, lupus nephritis, diabetic nephropathy)
ITGB6	6	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic nephropathy, diabetic kidney disease, CKD)
ITSN1	6	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic kidney disease, diabetic retinopathy, CKD)
ITSN	6	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic kidney disease, diabetic retinopathy, CKD)
SH3D1A	6	Dialysis, AKI, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, AKI, diabetic kidney disease, diabetic retinopathy, CKD)
JAK3	6	Dialysis, Glomerulonephritis, Polycystic_Kidney_Disease, AKI (hemodialysis, lupus nephritis, Autosomal Dominant Polycystic kidney disease, AKI)
HJAK3S	6	Dialysis, Glomerulonephritis, Polycystic_Kidney_Disease, AKI (hemodialysis, lupus nephritis, Autosomal Dominant Polycystic kidney disease, AKI)
JAKMIP2	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
JAMIP2	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
NECC1	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, CKD)
KAZN	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency, Glomerulonephritis (hemodialysis, diabetic nephropathy, Chronic kidney disease, mesangioproliferative glomerulonephritis)
KAZ	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency, Glomerulonephritis (hemodialysis, diabetic nephropathy, Chronic kidney disease, mesangioproliferative glomerulonephritis)
KCNA1	6	Dialysis, AKI, Chronic_Renal_Insufficiency (hemodialysis, AKI, CKD)
KCNC1	6	Dialysis, Chronic_Renal_Insufficiency (hemodialysis, CKD)
KCNG1	6	Dialysis, Chronic_Renal_Insufficiency, Diabetes, ureteral_obstruction (hemodialysis, Chronic kidney disease, diabetic kidney disease, unilateral ureteral obstruction, CKD)
KCNH6	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
ERG2	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, CKD)
KCNMA1	6	Diabetes, Chronic_Renal_Insufficiency, AKI (diabetic nephropathy, Chronic kidney disease, AKI, CKD)
KCNMA	6	Diabetes, Chronic_Renal_Insufficiency, AKI (diabetic nephropathy, Chronic kidney disease, AKI, CKD)
SLO	6	Diabetes, Chronic_Renal_Insufficiency, AKI (diabetic nephropathy, Chronic kidney disease, AKI, CKD)
KDELC1	6	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes, Nephrosclerosis (Chronic kidney disease, hemodialysis, AKI, diabetic kidney disease, glomerulosclerosis, CKD)
EP58	6	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes, Nephrosclerosis (Chronic kidney disease, hemodialysis, AKI, diabetic kidney disease, glomerulosclerosis, CKD)
UNQ1910/PRO4357	6	Chronic_Renal_Insufficiency, Dialysis, AKI, Diabetes, Nephrosclerosis (Chronic kidney disease, hemodialysis, AKI, diabetic kidney disease, glomerulosclerosis, CKD)
KIF20A	6	Dialysis, Glomerulonephritis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, Diabetic Nephropathy, IgA nephropathy (with endocapillary proliferation (E1)), CKD)
RAB6KIFL	6	Dialysis, Glomerulonephritis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, Diabetic Nephropathy, IgA nephropathy (with endocapillary proliferation (E1)), CKD)
MKLP2	6	Dialysis, Glomerulonephritis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, lupus nephritis, Diabetic Nephropathy, IgA nephropathy (with endocapillary proliferation (E1)), CKD)
KIF2A	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, diabetic kidney disease, CKD)
KIF2	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, diabetic kidney disease, CKD)
KNS2	11	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic nephropathy, diabetic kidney disease, CKD)|Diabetes, AKI (diabetic kidney disease, AKI)
KIFC1	6	Dialysis, cisplatin_induced, AKI, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, AKI, CKD)
HSET	6	Dialysis, cisplatin_induced, AKI, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, AKI, CKD)
KNSL2	6	Dialysis, cisplatin_induced, AKI, Chronic_Renal_Insufficiency (hemodialysis, cisplatin-induced nephrotoxicity, AKI, CKD)
KLF5	6	Dialysis, AKI, cisplatin_induced, nephrin_knockout, Diabetes (hemodialysis, AKI, cisplatin-induced nephrotoxicity, nephrin_knockout, diabetic nephropathy)
BTEB2	6	Dialysis, AKI, cisplatin_induced, nephrin_knockout, Diabetes (hemodialysis, AKI, cisplatin-induced nephrotoxicity, nephrin_knockout, diabetic nephropathy)
KLF9	6	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic kidney disease)
BTEB	6	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic kidney disease)
BTEB1	6	Dialysis, Diabetes (hemodialysis, diabetic nephropathy, diabetic kidney disease)
KLKB1	6	Dialysis, Diabetes, Chronic_Renal_Insufficiency (hemodialysis, diabetic kidney disease, diabetic nephropathy in T1D, CKD)
KMO	6	AKI, Polycystic_Kidney_Disease, Nephrosclerosis (AKI, Autosomal Dominant Polycystic kidney disease, glomerulosclerosis)
KNG1L1	6	AKI, Diabetes, ureteral_obstruction (AKI, diabetic nephropathy, obstructive uropathy)
KNTC2	6	Chronic_Renal_Insufficiency, Diabetes (Chronic kidney disease, diabetic kidney disease, diabetic nephropathy, CKD)
NDC80	6	Chronic_Renal_Insufficiency, Diabetes (Chronic kidney disease, diabetic kidney disease, diabetic nephropathy, CKD)
HEC	6	Chronic_Renal_Insufficiency, Diabetes (Chronic kidney disease, diabetic kidney disease, diabetic nephropathy, CKD)
KPNA1	6	Dialysis, AKI, Diabetes (hemodialysis, AKI, diabetic kidney disease)
RCH2	6	Dialysis, AKI, Diabetes (hemodialysis, AKI, diabetic kidney disease)
KRT26	6	AKI, Diabetes, Chronic_Renal_Insufficiency (AKI, type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy vs type 1 diabetes without retinopathy or nephropathy, type 1 diabetes with retinopathy and nephropathy vs type 1 diabetes without retinopathy or nephropathy, CKD)
