CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS	RVIS_ExAC_0.1%(AnyPopn)	%RVIS_ExAC_0.1%(AnyPopn)	RVIS_ExAC_0.01%	%RVIS_ExAC_0.01%
CDH17	CDH17	CDH17	CDH17	CDH17	-0.453066654	23.64917776	N	46.85617923	-0.689040941	15.23402205	-0.105514416	43.44316607
GEM	GEM	GEM	GEM	GEM	0.016802271	51.50894524	N	73.56661046	0.035250481	54.30998133	0.045977954	54.14131679
RAD54B	RAD54B	RAD54B	RAD54B	RAD54B	0.287491309	68.54406361	N	74.9337509	0.895474837	89.30184929	0.277992215	68.65249081
CCNE2	CCNE2	CCNE2	CCNE2	CCNE2	-0.22921306	35.2689597	N	53.26427367	-0.046739202	48.67779049	-0.145760517	40.79272333
TP53INP1	TP53INP1	TP53INP1	TP53INP1	TP53INP1	-0.105032293	42.94319619	Y	66.8092026	-0.074069266	46.87067044	0.188336481	63.43593759
NDUFAF6	NDUFAF6	NDUFAF6	NDUFAF6	NDUFAF6	-0.018496723	49.02716704	Y	47.43435317	-0.21926444	36.75079814	-0.152908331	40.29877718
PLEKHF2	PLEKHF2	PLEKHF2	PLEKHF2	PLEKHF2	-0.375887465	27.46822481	Y	19.80245724	-0.308189884	31.78724173	-0.352450367	28.57056804
C8orf37	C8orf37	C8orf37	C8orf37	C8orf37	0.258450477	66.9056081	Y	93.95326427	0.320320768	71.5438829	0.336538993	71.98963918
UQCRB	UQCRB	UQCRB	UQCRB	UQCRB	0.238927786	65.90566833	Y	77.68007709	0.43165922	76.45322571	0.175347378	62.63478104
MTERFD1	MTERFD1	MTERFD1	MTERFD1	MTERFD1	0.057413533	54.38226613	N	54.51698386	0.159242032	62.45406903	0.107072995	58.41214385
PTDSS1	PTDSS1	PTDSS1	PTDSS1	PTDSS1	-0.098317242	43.49135594	N	22.0248133	-0.019812149	50.47888681	-0.193865126	37.81699898
SDC2	SDC2	SDC2	SDC2	SDC2	0.184723951	62.89982531	Y	50.92146471	0.168594734	63.15282212	0.244242968	66.76103849
CPQ	CPQ	CPQ	CPQ	CPQ	0.823435046	87.85012951	N	48.1450253	1.119369236	92.59683152	0.942971795	90.7415216
MTDH	MTDH	MTDH	MTDH	MTDH	-0.421968813	25.0948738	N	51.33100458	-0.200880841	37.94952111	-0.693073163	15.05933378
LAPTM4B	LAPTM4B	LAPTM4B	LAPTM4B	LAPTM4B	0.632400046	82.9588579	N	61.85858829	0.423109967	76.1460153	0.768784227	87.01885429
HRSP12	HRSP12	HRSP12	HRSP12	HRSP12	-0.120026379	41.91313776	Y	87.08142616	-0.266590194	34.1726402	0.01999768	52.3101018
POP1	POP1	POP1	POP1	POP1	-0.310143938	30.80537317	N	70.64562756	-0.344386718	29.48617553	-0.130872851	41.79868683
NIPAL2	NIPAL2	NIPAL2	NIPAL2	NIPAL2	0.434488184	75.59785555	N	58.73283546	0.167384773	63.02029998	0.668031714	84.41660141
KCNS2	KCNS2	KCNS2	KCNS2	KCNS2	-0.808733968	12.68598277	N	29.86027463	-0.663398263	16.0171074	-0.691768927	15.10149991
VPS13B	VPS13B	VPS13B	VPS13B	VPS13B	-2.877970131	0.765014156	N	64.10503493	-2.441368759	1.01198723	-2.287544289	1.246912837
COX6C	COX6C	COX6C	COX6C	COX6C	0.062106881	54.67742907	Y	50.77692122	0.017271761	53.20161436	-0.025498066	48.82838383
POLR2K	POLR2K	POLR2K	POLR2K	POLR2K	0.013216182	51.3041383	Y	10.56371959	0.017674769	53.23775676	0.014155019	51.88844046
RNF19A	RNF19A	RNF19A	RNF19A	RNF19A	-1.439550866	4.276850792	N	67.73066731	-1.143033322	6.421299922	-1.023305675	8.252514909
ANKRD46	ANKRD46	ANKRD46	ANKRD46	ANKRD46	-0.120026379	41.91313776	Y	95.07949892	-0.135260422	42.38298898	-0.088551172	44.56960424
SNX31	SNX31	SNX31	SNX31	SNX31	0.526955345	79.4169026	N	95.85642014	0.953763149	90.31986025	0.726516214	85.98277212
PABPC1	PABPC1	PABPC1	PABPC1	PABPC1	0.982308907	90.7595928	Y	1.939291737	1.466489122	95.97614602	1.264116085	94.52442624
YWHAZ	YWHAZ	YWHAZ	YWHAZ	YWHAZ	-0.16891754	38.71453527	Y	0.776921224	-0.134857873	42.44322631	-0.157447666	40.01566171
ZNF706	ZNF706	ZNF706	ZNF706	ZNF706	0.327031415	70.54394314	N	Unassessed	0.239139103	67.33931691	0.22410733	65.59845792
NCALD	NCALD	NCALD	NCALD	NCALD	-0.186256481	37.69652431	Y	4.56516502	-0.059397208	47.95494247	-0.150951807	40.47346545
ODF1	ODF1	ODF1	ODF1	ODF1	0.661768703	83.73591952	N	39.99036377	0.665377212	84.17565207	0.567933671	81.39268719
KLF10	KLF10	KLF10	KLF10	KLF10	-0.071296764	45.43099813	N	35.59383281	-0.166214868	40.29877718	-0.436971175	24.46238178
AZIN1	AZIN1	AZIN1	AZIN1	AZIN1	-0.394787961	26.55864105	N	36.99710913	-0.448061978	24.22143244	-0.301761289	31.25112945
ATP6V1C1	ATP6V1C1	ATP6V1C1	ATP6V1C1	ATP6V1C1	-0.410564403	25.64905729	N	30.66128644	-0.55125773	20.10119872	-0.448007113	23.9985543
BAALC	BAALC	BAALC	BAALC	BAALC	0.639284065	83.0853563	Unassessed	Unassessed	0.50792772	79.44099753	0.261149285	67.73688332
FZD6	FZD6	FZD6	FZD6	FZD6	-0.547715455	20.06505632	N	67.54396531	-0.257555364	34.62442022	-0.657333962	16.16167701
CTHRC1	CTHRC1	CTHRC1	CTHRC1	CTHRC1	0.406686869	74.41118005	Y	93.47747531	0.403117423	75.35690621	0.49903753	78.91693271
SLC25A32	SLC25A32	SLC25A32	SLC25A32	SLC25A32	-0.118623033	41.9914463	N	82.16694772	-0.213136317	37.10017469	-0.115864977	42.79862659
DCSTAMP	DCSTAMP	DCSTAMP	DCSTAMP	DCSTAMP	0.587873483	81.55532799	N	71.99470007	0.220431744	66.31528221	0.166863029	62.08059755
DPYS	DPYS	DPYS	DPYS	DPYS	-0.442274896	24.22745618	N	64.64105035	-0.656867296	16.22793808	-0.615070502	17.60737305
LRP12	LRP12	LRP12	LRP12	LRP12	-1.131011433	7.264622613	N	68.01373163	-1.185042309	5.909282573	-1.326892999	4.843081742
OXR1	OXR1	OXR1	OXR1	OXR1	-1.085081346	7.885067165	N	39.10503493	-0.797553417	12.19806036	-1.186471537	6.174326848
ABRA	ABRA	ABRA	ABRA	ABRA	-0.438526381	24.35997831	N	23.87376536	-0.477405083	23.02270948	-0.165926672	39.43135956
ANGPT1	ANGPT1	ANGPT1	ANGPT1	ANGPT1	-0.560364376	19.61930004	N	22.73548543	-0.586728598	18.78200108	-0.45776295	23.57689296
RSPO2	RSPO2	RSPO2	RSPO2	RSPO2	0.076317513	55.6532739	N	55.73355818	0.036459494	54.4846696	0.056387989	54.90030721
EIF3E	EIF3E	EIF3E	EIF3E	EIF3E	-0.500850605	21.74567797	Y	8.991809203	-0.454191077	23.97445937	-0.555905991	19.68556111
EMC2	EMC2	EMC2	EMC2	EMC2	-0.232961695	35.07620023	Y	7.980004818	-0.488857667	22.64321426	-0.486356055	22.38419372
TMEM74	TMEM74	TMEM74	TMEM74	TMEM74	-0.102065654	43.17209807	N	62.17778848	-0.330598715	30.29335582	-0.317361401	30.29937956
TRHR	TRHR	TRHR	TRHR	TRHR	-0.353394131	28.50430697	N	28.0956396	-0.413395538	25.79965062	-0.371309864	27.63086561
NUDCD1	NUDCD1	NUDCD1	NUDCD1	NUDCD1	0.154411213	61.09270526	N	92.6222597	-0.014893616	50.81019216	0.049863192	54.3762424
EBAG9	EBAG9	EBAG9	EBAG9	EBAG9	-0.07488405	45.20811999	Y	4.011081667	-0.183793271	39.19041022	-0.14315173	40.9854828
KCNV1	KCNV1	KCNV1	KCNV1	KCNV1	-0.447428558	23.95036444	Y	1.084076126	-0.495790994	22.34805132	-0.602707274	18.09529546
CSMD3	CSMD3	CSMD3	CSMD3	CSMD3	-4.649207496	0.132522137	N	40.24331486	-4.223930623	0.168664538	-4.625485701	0.138545871
TRPS1	TRPS1	TRPS1	TRPS1	TRPS1	-0.393717428	26.62490211	N	66.77908938	-0.718396369	14.33648575	-1.055214192	7.758568761
EIF3H	EIF3H	EIF3H	EIF3H	EIF3H	-0.469297102	22.96849587	Y	26.18646109	-0.64179363	16.76405036	-0.480511365	22.60707186
UTP23	UTP23	UTP23	UTP23	UTP23	0.250171658	66.45382808	N	80.98650927	0.182057939	63.97204988	0.220189682	65.28522378
RAD21	RAD21	RAD21	RAD21	RAD21	-1.048051737	8.312752244	N	11.15393881	-0.822466388	11.73423288	-0.722970167	14.28227215
SLC30A8	SLC30A8	SLC30A8	SLC30A8	SLC30A8	0.531486104	79.56749593	N	93.00770899	0.255904021	68.23082947	0.285168521	69.11029456
MED30	MED30	MED30	MED30	MED30	0.354048978	71.89928318	Y	54.39653096	0.355391472	73.20643335	0.632297356	83.47689898
EXT1	EXT1	EXT1	EXT1	EXT1	-1.678119072	2.999819288	N	46.1575524	-1.391454136	4.276850792	-1.402292617	4.294921993
SAMD12	SAMD12	SAMD12	SAMD12	SAMD12	0.340455855	71.24871996	N	30.10118044	0.216320982	66.11649901	-0.106108088	43.43111861
TNFRSF11B	TNFRSF11B	TNFRSF11B	TNFRSF11B	TNFRSF11B	0.025080949	52.11734233	N	30.68537702	0.042183679	54.92440214	0.270873713	68.29709054
COLEC10	COLEC10	COLEC10	COLEC10	COLEC10	0.347951714	71.62821517	N	93.28475066	-0.212733732	37.15438829	0.032335368	53.15944823
NOV	NOV	NOV	NOV	NOV	0.751271795	86.12131799	Y	89.00264996	0.920306122	89.75965303	0.263726348	67.90554786
ENPP2	ENPP2	ENPP2	ENPP2	ENPP2	0.087238808	56.46647792	N	40.15899783	0.645065057	83.56725498	0.243531605	66.69477742
DSCC1	DSCC1	DSCC1	DSCC1	DSCC1	0.104901915	57.70134329	N	98.72922187	-0.025939546	50.10541534	0.094735676	57.56882116
DEPTOR	DEPTOR	DEPTOR	DEPTOR	DEPTOR	1.207255986	93.82567315	N	87.39460371	1.444471634	95.77736281	0.9046216	89.98855491
MRPL13	MRPL13	MRPL13	MRPL13	MRPL13	0.031957772	52.65947834	Y	66.3815948	0.126994976	60.77344738	0.088893391	57.14715981
MTBP	MTBP	MTBP	MTBP	MTBP	0.216731449	64.6226131	N	75.51794748	-0.300767904	32.21492681	0.222739802	65.44786459
SNTB1	SNTB1	SNTB1	SNTB1	SNTB1	-0.455865901	23.55279802	N	95.92266924	-0.401944552	26.31166797	-0.267979216	33.11848684
HAS2	HAS2	HAS2	HAS2	HAS2	0.04163831	53.32208903	Y	3.173933992	-0.075277718	46.74417204	-0.256265321	33.88952473
ZHX2	ZHX2	ZHX2	ZHX2	ZHX2	0.304672719	69.45364737	N	19.03758131	0.264133079	68.69465695	-0.145820383	40.76260466
DERL1	DERL1	DERL1	DERL1	DERL1	-0.191568045	37.4073851	Y	93.30884124	-0.454191077	23.97445937	-0.447355338	24.02867297
WDR67	WDR67	TBC1D31	TBC1D31	TBC1D31	-0.062561036	46.00927655	N	51.120212	-0.441050948	24.49250045	-0.634625413	16.95680983
FAM83A	FAM83A	FAM83A	FAM83A	FAM83A	1.203507731	93.78350702	N	89.53866538	0.608293734	82.63960002	0.672566549	84.58526595
C8orf76	C8orf76	C8orf76	C8orf76	C8orf76	0.025080949	52.11734233	N	87.91255119	-0.22047217	36.64237094	-0.163317334	39.56388169
ZHX1	ZHX1	ZHX1	ZHX1	ZHX1	-0.568803981	19.4144931	N	19.53746085	-0.624215011	17.30016264	-0.665787022	15.84844286
ATAD2	ATAD2	ATAD2	ATAD2	ATAD2	-1.916300909	2.186615264	N	42.9294146	-1.921785491	1.957713391	-1.878289725	2.168544064
WDYHV1	WDYHV1	WDYHV1	WDYHV1	WDYHV1	0.241892844	66.0622854	N	49.21705613	0.569116196	81.39268719	0.32093864	71.10415035
FBXO32	FBXO32	FBXO32	FBXO32	FBXO32	-0.220934338	35.77495332	N	31.71524934	-0.171134392	39.97951931	-0.246508848	34.58827781
FAM91A1	FAM91A1	FAM91A1	FAM91A1	FAM91A1	-0.646280288	16.90861996	N	24.98795471	-0.430080697	25.04668393	-0.881587984	10.72826938
TMEM65	TMEM65	TMEM65	TMEM65	TMEM65	-0.057544689	46.31046323	Y	12.45483016	-0.127924588	42.84681646	-0.04109829	47.7983254
TRMT12	TRMT12	TRMT12	TRMT12	TRMT12	-0.06223611	46.03337148	N	93.4232715	0.014047934	52.85223782	-0.342717988	29.05246672
RNF139	RNF139	RNF139	RNF139	RNF139	-0.946513311	9.824709355	N	16.30932305	-1.037813679	7.812782363	-1.00444011	8.577796518
TATDN1	TATDN1	TATDN1	TATDN1	TATDN1	0.009305669	51.0330703	N	92.80293905	-0.061008474	47.70194567	0.016082852	52.04505753
NDUFB9	NDUFB9	NDUFB9	NDUFB9	NDUFB9	0.481197326	77.46521294	Y	42.21874247	0.728184343	85.86832119	0.786346399	87.5067767
MTSS1	MTSS1	MTSS1	MTSS1	MTSS1	-0.20688414	36.47973014	N	23.71115394	-0.313827707	31.35353292	-0.364842887	27.96819469
ZNF572	ZNF572	ZNF572	ZNF572	ZNF572	0.118330353	58.67718812	N	64.41821248	0.607890378	82.60345762	0.307263509	70.39937353
KIAA0196	KIAA0196	KIAA0196	KIAA0196	KIAA0196	-2.014102623	1.93964219	N	32.03444953	-1.789594025	2.367327269	-1.473217483	3.909403048
NSMCE2	NSMCE2	NSMCE2	NSMCE2	NSMCE2	-0.117059506	42.09384977	Y	88.28595519	-0.129132391	42.71429432	-0.160056187	39.75061743
TRIB1	TRIB1	TRIB1	TRIB1	TRIB1	-0.241240428	34.62442022	Unassessed	Unassessed	-0.233130913	35.90145172	-0.3856062	26.97427866
FAM84B	FAM84B	FAM84B	FAM84B	FAM84B	-0.10128383	43.2504066	Unassessed	Unassessed	-0.157267947	40.88307933	-0.013812361	49.71989639
MYC	MYC	MYC	MYC	MYC	-0.128465445	41.29871694	N	24.34955432	0.089910025	58.27359798	-0.405118557	25.93217276
GSDMC	GSDMC	GSDMC	GSDMC	GSDMC	1.20569086	93.80760195	N	61.30450494	1.491803283	96.13878682	0.840259426	88.64526233
FAM49B	FAM49B	FAM49B	FAM49B	FAM49B	-0.181726402	37.93747365	Y	0.19874729	-0.231923799	36.05204506	-0.266649128	33.23896151
ASAP1	ASAP1	ASAP1	ASAP1	ASAP1	-1.632361627	3.210649961	N	11.90074681	-1.297207178	5.041864948	-1.35356919	4.602132402
ADCY8	ADCY8	ADCY8	ADCY8	ADCY8	-1.761902552	2.680561412	N	41.47193447	-1.796120678	2.349256069	-1.658499502	3.017890489
LRRC6	LRRC6	LRRC6	LRRC6	LRRC6	0.432139821	75.47135715	N	83.60635991	0.304033561	70.77886874	0.625764691	83.24799711
TMEM71	TMEM71	TMEM71	TMEM71	TMEM71	0.69784917	84.87440516	N	87.31630932	0.567903984	81.33244985	0.527625881	79.94096741
PHF20L1	PHF20L1	PHF20L1	PHF20L1	PHF20L1	-1.729373992	2.819107283	N	58.28113708	-1.648443683	2.885368351	-1.513475808	3.692548642
SLA	SLA	SLA	SLA	SLA	-0.220934338	35.77495332	N	38.68947242	-0.302463332	32.08240467	-0.137960487	41.29269321
WISP1	WISP1	WISP1	WISP1	WISP1	0.707527505	85.1514969	N	60.37701759	0.365626656	73.68230829	0.616659049	82.91669177
ST3GAL1	ST3GAL1	ST3GAL1	ST3GAL1	ST3GAL1	0.396059027	73.89313897	N	37.65357745	0.270173733	69.07415216	0.014777945	51.91855912
KHDRBS3	KHDRBS3	KHDRBS3	KHDRBS3	KHDRBS3	-0.345115376	28.97415818	N	10.40713081	-0.669125399	15.84844286	-0.472059338	22.95644841
FAM135B	FAM135B	FAM135B	FAM135B	FAM135B	-1.37606555	4.740678272	N	29.84822934	-0.880728076	10.44515391	-1.403744469	4.288898259
COL22A1	COL22A1	COL22A1	COL22A1	COL22A1	1.278171868	94.50635504	N	76.44543483	-0.359421986	28.58863924	0.262339409	67.77904945
KCNK9	KCNK9	KCNK9	KCNK9	KCNK9	-0.835759217	12.02337209	Y	2.830643219	-0.648325126	16.52912475	-0.665760848	15.8725378
CHRAC1	CHRAC1	CHRAC1	CHRAC1	CHRAC1	0.342022292	71.30895729	N	99.63261865	0.300328218	70.61622794	0.283896833	69.03800976
EIF2C2	EIF2C2	AGO2	AGO2	AGO2	-1.709676473	2.861273417	N	0.511924837	-1.335172334	4.698512138	-1.586266024	3.361243299
PTK2	PTK2	PTK2	PTK2	PTK2	-1.346289798	4.987651346	N	35.44928933	-1.49668719	3.560026504	-1.204034961	5.927353774
PTP4A3	PTP4A3	PTP4A3	PTP4A3	PTP4A3	0.056794049	54.36419493	Y	13.61720067	-0.114863254	43.73230528	0.112293669	58.71333052
TSNARE1	TSNARE1	TSNARE1	TSNARE1	TSNARE1	1.113052297	92.54864165	N	91.37557215	1.068818281	91.9101259	1.55857963	96.6206855
LY6K	LY6K	LY6K	LY6K	LY6K	0.163635643	61.58062767	Unassessed	Unassessed	0.327254123	71.85711704	0.561440101	81.24209385
SLURP1	SLURP1	SLURP1	SLURP1	SLURP1	0.366859083	72.50768026	Y	35.9792821	0.189798145	64.55032829	0.524398883	79.80844527
LYNX1	LYNX1	LYNX1	LYNX1	LYNX1	0.27422525	67.79712066	N	7.401830884	0.160854781	62.6287573	0.591334681	82.14565388
LY6D	LY6D	LY6D	LY6D	LY6D	0.333743376	70.91139088	Y	74.59648278	0.556058005	80.98909704	0.38464663	74.31480031
GML	GML	GML	GML	GML	0.902653099	89.27173062	N	72.44037581	0.77712533	87.01283055	0.66349927	84.25998434
CYP11B1	CYP11B1	CYP11B1	CYP11B1	CYP11B1	-0.033031714	47.90675261	N	77.8547338	0.488411703	78.75429191	0.34169697	72.28480212
CYP11B2	CYP11B2	CYP11B2	CYP11B2	CYP11B2	0.462908525	76.72429372	N	38.29800048	0.205759463	65.52014939	0.506151327	79.18197699
LY6E	LY6E	LY6E	LY6E	LY6E	0.354048978	71.89928318	Y	57.67887256	0.224061279	66.56225529	0.523745318	79.77832661
C8orf31	C8orf31	C8orf31	C8orf31	C8orf31	0.556492566	80.48310343	N	97.4524211	0.438592687	76.75441238	0.400247164	75.11595687
LY6H	LY6H	LY6H	LY6H	LY6H	-0.09519008	43.71423408	Y	13.06913997	-0.114460619	43.77447142	-0.065150915	45.99722908
ZFP41	ZFP41	ZFP41	ZFP41	ZFP41	0.368257336	72.55587013	N	14.73741267	-0.019409235	50.50298175	0.388528211	74.54370219
GLI4	GLI4	GLI4	GLI4	GLI4	-0.254830738	33.81121619	Unassessed	Unassessed	-0.109540894	44.01542076	-0.255613143	33.90759593
ZNF696	ZNF696	ZNF696	ZNF696	ZNF696	0.343420875	71.40533703	Unassessed	Unassessed	-0.171537032	39.94940064	0.148030799	60.85175592
TOP1MT	TOP1MT	TOP1MT	TOP1MT	TOP1MT	1.193508514	93.66905608	N	59.50373404	2.063003021	98.25914102	2.137245523	98.46997169
ZC3H3	ZC3H3	ZC3H3	ZC3H3	ZC3H3	1.42663864	95.78941028	N	57.97398217	2.017427566	98.13264261	1.693830833	97.23510632
NAPRT1	NAPRT1	NAPRT1	NAPRT1	NAPRT1	0.669880824	84.019035	N	24.5603469	0.379090181	74.18830191	1.026821206	92.06071923
EEF1D	EEF1D	EEF1D	EEF1D	EEF1D	1.441904946	95.92193241	N	26.58997832	1.088816585	92.20528884	1.394098149	95.5605084
PYCRL	PYCRL	PYCRL	PYCRL	PYCRL	1.053077318	91.75350882	N	35.47337991	0.692707263	84.86235769	0.559480105	81.16378531
TSTA3	TSTA3	TSTA3	TSTA3	TSTA3	-0.223279319	35.61833624	N	28.67381354	-0.691132028	15.18583218	-0.071674394	45.52135414
MAPK15	MAPK15	MAPK15	MAPK15	MAPK15	1.874690579	97.92783567	N	86.88870152	1.807592626	97.49412686	1.750370277	97.42184206
FAM83H	FAM83H	FAM83H	FAM83H	FAM83H	0.203764849	64.07445335	Unassessed	Unassessed	0.490925267	78.79645804	-0.195233103	37.70857177
SCRIB	SCRIB	SCRIB	SCRIB	SCRIB	-0.479234579	22.558882	N	32.15490243	-0.974979519	8.788627191	-1.57619642	3.391361966
SPATC1	SPATC1	SPATC1	SPATC1	SPATC1	1.347854149	95.12679959	N	64.5145748	1.137755375	92.77151979	0.728445423	86.04300946
EXOSC4	EXOSC4	EXOSC4	EXOSC4	EXOSC4	0.076317513	55.6532739	N	8.949650687	0.167788045	63.05041865	0.164936233	61.96012288
CYC1	CYC1	CYC1	CYC1	CYC1	-0.193131264	37.3351003	N	19.15803421	-0.01287895	50.94873803	0.031030414	53.08113969
MAF1	MAF1	MAF1	MAF1	MAF1	-0.39322587	26.66706825	Y	5.510720308	-0.232728479	35.94361785	-0.237404663	35.13643756
HSF1	HSF1	HSF1	HSF1	HSF1	-0.703451063	15.38461538	N	57.92580101	-0.830607887	11.5234022	-0.5240774	20.89030781
DGAT1	DGAT1	DGAT1	DGAT1	DGAT1	-0.406193161	25.90807783	N	16.09250783	-0.097688806	45.01536052	-0.221179096	36.17251973
SCRT1	SCRT1	SCRT1	SCRT1	SCRT1	-0.078632541	44.94909945	Unassessed	Unassessed	-0.100594079	44.84669598	-0.049550737	47.13571472
FBXL6	FBXL6	FBXL6	FBXL6	FBXL6	0.285306246	68.40551774	N	61.40086726	-0.25062214	34.97982049	0.435950176	76.55562918
SLC52A2	SLC52A2	SLC52A2	SLC52A2	SLC52A2	-0.489763374	22.16131558	N	15.68296796	-0.603011429	18.1013192	-0.168536404	39.23860008
SLC39A4	SLC39A4	SLC39A4	SLC39A4	SLC39A4	1.38769494	95.43401	N	47.46446639	1.088415398	92.1992651	1.4630085	96.09662069
VPS28	VPS28	VPS28	VPS28	VPS28	-0.187819458	37.5880971	N	6.721271983	-0.406060055	26.1550509	-0.215308663	36.56406241
KIFC2	KIFC2	KIFC2	KIFC2	KIFC2	0.115823539	58.51454732	Unassessed	Unassessed	-0.073986399	46.87669418	-0.152315006	40.30480092
FOXH1	FOXH1	FOXH1	FOXH1	FOXH1	-0.396350797	26.47430878	N	77.18622019	-0.400736269	26.38395277	-0.257569791	33.79916872
PPP1R16A	PPP1R16A	PPP1R16A	PPP1R16A	PPP1R16A	0.126609025	59.27956147	N	57.37171766	-0.435805301	24.76959219	-0.336222454	29.46810433
GPT	GPT	GPT	GPT	GPT	0.141602187	60.20721643	N	70.48903879	0.150696813	62.05047889	0.157758146	61.43605807
MFSD3	MFSD3	MFSD3	MFSD3	MFSD3	0.404337847	74.26661045	Unassessed	Unassessed	0.27710699	69.4415999	0.131125564	59.92410096
LRRC14	LRRC14	LRRC14	LRRC14	LRRC14	-1.083515083	7.915185832	N	16.68272705	-0.582211206	18.92657069	-0.796435258	12.55948437
RPL8	RPL8	RPL8	RPL8	RPL8	-0.385728038	26.99234986	Y	5.926282823	-0.399126771	26.51045118	-0.53315705	20.52286007
ZNF517	ZNF517	ZNF517	ZNF517	ZNF517	0.548043921	80.14577435	N	66.26716454	0.532429621	80.19998795	0.626417525	83.28413951
ZNF7	ZNF7	ZNF7	ZNF7	ZNF7	-1.287544469	5.523763629	N	20.73596724	-1.012096019	8.150111439	-1.171522957	6.34901512
COMMD5	COMMD5	COMMD5	COMMD5	COMMD5	0.377319174	72.99560267	N	97.76559865	0.292183803	70.26082766	0.157136158	61.43003434
ZNF16	ZNF16	ZNF16	ZNF16	ZNF16	0.374027343	72.8209144	N	45.38063117	0.356276915	73.23655201	-0.280347312	32.44985242
C9orf66	C9orf66	C9orf66	C9orf66	C9orf66	1.254755273	94.29552437	Unassessed	Unassessed	0.996578558	91.0306608	1.000843057	91.71736642
DOCK8	DOCK8	DOCK8	DOCK8	DOCK8	-0.828277355	12.20408409	N	48.32570465	-0.449981674	24.07083911	0.21486716	65.01415577
KANK1	KANK1	KANK1	KANK1	KANK1	-0.117437522	42.03963617	N	82.75716695	-0.169714462	40.13613638	0.04453708	54.01481838
DMRT1	DMRT1	DMRT1	DMRT1	DMRT1	-0.148771178	40.08192278	N	49.36762226	-0.497399802	22.17938678	-0.327117881	29.86567074
DMRT3	DMRT3	DMRT3	DMRT3	DMRT3	0.56147283	80.66983917	N	81.89592869	0.772279058	86.85621348	0.296201258	69.74881031
DMRT2	DMRT2	DMRT2	DMRT2	DMRT2	0.318421114	70.16444792	Unassessed	Unassessed	0.827747535	87.95855671	0.575700611	81.62761279
VLDLR	VLDLR	VLDLR	VLDLR	VLDLR	-0.795474283	12.98114571	N	55.79980728	-0.84811178	11.1981206	-0.679466869	15.42678152
KCNV2	KCNV2	KCNV2	KCNV2	KCNV2	0.178928244	62.55044877	N	63.70151771	0.338792044	72.32696825	-0.001533024	50.64152762
KIAA0020	KIAA0020	KIAA0020	KIAA0020	KIAA0020	1.861879888	97.8796458	N	94.57961937	1.447787019	95.82555268	2.184064147	98.52418529
RFX3	RFX3	RFX3	RFX3	RFX3	-1.248326299	5.927353774	N	7.227174175	-1.072886139	7.354978616	-1.191660174	6.120113246
GLIS3	GLIS3	GLIS3	GLIS3	GLIS3	0.546804446	80.09156075	N	42.50782944	0.136115006	61.29148846	0.373510818	73.74856936
SLC1A1	SLC1A1	SLC1A1	SLC1A1	SLC1A1	-0.915743909	10.39696404	N	21.9043604	-1.136099265	6.523703391	-1.341188347	4.686464671
CDC37L1	CDC37L1	CDC37L1	CDC37L1	CDC37L1	-0.369951653	27.78748268	Y	58.01614069	-0.427262105	25.20932474	-0.49545976	21.97457984
AK3	AK3	AK3	AK3	AK3	-0.336836623	29.407867	N	95.37460853	-0.399528981	26.48033251	-0.138612742	41.27462201
RCL1	RCL1	RCL1	RCL1	RCL1	0.159723734	61.38184447	N	65.99012286	0.117239777	59.99638576	0.237715668	66.45985182
JAK2	JAK2	JAK2	JAK2	JAK2	-1.303500352	5.33702789	N	46.07925801	-1.014526509	8.101921571	-1.300924068	5.035841214
INSL6	INSL6	INSL6	INSL6	INSL6	0.523990008	79.29040419	N	54.20380631	0.553633375	80.90476477	0.580921678	81.8083248
INSL4	INSL4	INSL4	INSL4	INSL4	0.501502967	78.2844407	N	73.48229342	0.790182887	87.33811216	0.491237245	78.63381724
RLN2	RLN2	RLN2	RLN2	RLN2	0.913894576	89.42834769	N	88.340159	1.184203912	93.35582194	0.925450707	90.39816879
RLN1	RLN1	RLN1	RLN1	RLN1	0.493223992	77.91096922	N	90.02649964	0.38925065	74.70634299	0.483436967	78.3747967
PLGRKT	PLGRKT	PLGRKT	PLGRKT	PLGRKT	0.052263549	54.02084212	Y	97.62105517	0.188991231	64.45394856	0.010892655	51.64749111
CD274	CD274	CD274	CD274	CD274	-0.171262023	38.5579182	N	23.20525175	-0.260863868	34.47985061	-0.091160303	44.38889224
PDCD1LG2	PDCD1LG2	PDCD1LG2	PDCD1LG2	PDCD1LG2	0.359978509	72.24263599	N	89.90604674	0.761639145	86.59719294	0.706380452	85.42256491
MLANA	MLANA	MLANA	MLANA	MLANA	0.247206648	66.35142461	Y	98.64490484	0.175931479	63.66483947	0.291697035	69.48376604
RANBP6	RANBP6	RANBP6	RANBP6	RANBP6	-0.871560019	11.28245286	N	25.92748735	-0.994536532	8.463345582	-1.573987765	3.409433167
IL33	IL33	IL33	IL33	IL33	-0.135180413	40.90717427	N	46.60322814	-0.09567449	45.15390639	-0.022917212	49.0211433
UHRF2	UHRF2	UHRF2	UHRF2	UHRF2	-1.120381918	7.385097283	N	42.08624428	-1.18342669	5.951448708	-1.385383862	4.373230528
