Gene_Name	GWAS_hits	GWAS_max_P_VALUE	GWAS_min_P_VALUE	GWAS_max_OR	GWAS_min_OR	GWAS_tissue_trait_flag
ZNFX1	3.0	8e-09	1e-20	5.7589999999999995	0.040999999999999995	1
PHB	3.0	2e-08	1e-12	0.31	0.043	1
PHIP	3.0	3e-09	6e-10	0.16	0.018057467	1
CREBBP	3.0	4e-10	9e-12	1.35	0.83	1
PHTF1	3.0	3e-13	8e-24	2.7073	1.361	1
PHTF2	3.0	4e-08	2e-09	0.643	0.01	1
TRIM65	3.0	4e-15	3e-19	1.0649627000000002	0.05	1
PIBF1	3.0	3e-08	6e-11	2.04	0.1817326	1
PID1	3.0	2e-09	9e-12	1.19	0.083	1
OR4C46	3.0	5e-09	3e-12	0.141	0.034	1
ZNF839	3.0	2e-08	3e-17	0.3987	0.020552438	1
CTU2	3.0	3e-10	5e-16	0.37314990000000003	0.03665218	1
ATP8B2	3.0	2e-08	2e-09	1.36	0.03013	1
PRELP	3.0	8e-20	1e-91	2.36	1.09	1
ATP8B4	3.0	3e-10	6e-13	0.04403	0.02364264	1
CUL3	3.0	2e-08	5e-12	1.0706638000000002	1.0649627000000002	1
PITX1	3.0	9e-10	2e-14	1.15	0.03	1
PKDCC	3.0	6e-09	2e-10	1.3	0.04	1
ATRN	3.0	8e-10	1e-12	0.02702108	0.0233628	1
PKHD1	3.0	5e-09	7e-10	1.14	0.08	1
PKNOX2	3.0	1e-10	2e-12	1.32	1.0928961000000001	1
CRAT	3.0	1e-18	4e-22	0.03706208	0.016	1
TRIM47	3.0	1e-08	3e-11	1.15	0.109	1
ATXN7L1	3.0	2e-10	1e-21	0.0337768	0.0325914	1
PLA2R1	3.0	4e-10	0.0	1.87	0.038	1
ZNF800	3.0	7e-10	3e-16	0.2311	0.0887016	1
OPLAH	3.0	5e-15	6e-110	0.121	0.03	1
ZNRD1	3.0	2e-13	1e-20	1.2655623	1.1897327	1
CREM	3.0	1e-09	5e-29	1.15	1.115	1
PEX2	3.0	3e-08	7e-17	0.04	0.027000000000000003	1
PER2	3.0	3e-09	1e-14	1.1627907	0.03	1
PCBP3	3.0	5e-13	1e-14	7.735	0.3595	1
TSC22D2	3.0	2e-08	2e-09	1.29	0.044000000000000004	1
CSF2RB	3.0	4e-22	3e-38	0.32	0.0364758	1
PARVB	3.0	2e-12	2e-20	2.02	0.085	1
PAPPA2	3.0	2e-08	5e-11	0.044000000000000004	0.022000000000000002	1
ATG13	3.0	4e-08	7e-10	1.38	0.0104	1
PAN3	3.0	3e-17	6e-38	0.125067	0.08204904	1
PALMD	3.0	2e-14	1e-22	1.28	0.021	1
PCID2	3.0	2e-10	3e-14	0.4212	0.02415953	1
CSRP3	3.0	6e-14	9e-20	0.03590253	0.02969753	1
CST1	3.0	6e-19	5e-37	0.564	0.5148	1
PAH	3.0	1e-10	3e-15	0.08	0.008	1
ATG7	3.0	4e-08	3e-12	0.0509	0.030478500000000002	1
CST3	3.0	1e-14	4e-153	0.3912	0.0562	1
PACSIN2	3.0	4e-29	4e-148	0.09356691	0.04182835	1
CST7	3.0	3e-13	8e-190	0.7626	0.27	1
P2RY2	3.0	2e-23	5e-27	0.09057660000000001	0.08057786	1
TRMT61A	3.0	3e-08	1e-12	0.09	0.01857964	1
PDE11A	3.0	3e-08	1e-20	8.212	0.037000000000000005	1
TSPAN18	3.0	1e-08	1e-11	11.66	1.29	1
ATP13A1	3.0	2e-08	4e-31	0.08285124	0.06684476	1
ZRANB3	3.0	6e-09	1e-09	0.035024599999999996	0.018399900000000004	1
OTUD3	3.0	2e-11	9e-22	1.41	1.37	1
ZPBP	3.0	1e-08	7e-15	1.14	0.018610986	1
PDLIM5	3.0	3e-09	4e-15	1.11	0.0259829	1
ORM2	3.0	2e-12	3e-34	0.59	0.34	1
CTF1	3.0	3e-08	2e-09	2.13	0.0211	1
CXCL10	3.0	3e-15	2e-49	1.92	1.1031	1
PLEK2	3.0	5e-12	7e-20	0.05328269	0.04076049	1
PLEKHG4	3.0	1e-11	7e-20	0.37	0.0882287	1
BCAR1	3.0	4e-08	3e-19	1.36	1.12	1
TRAM2	3.0	3e-08	2e-09	0.0931	0.0186	1
PPARGC1B	3.0	2e-09	1e-21	1.4492753999999999	0.06	1
TRAK1	3.0	2e-11	5e-33	1.0649627000000002	0.05	1
PPFIBP2	3.0	4e-08	3e-37	1.23	0.035	1
NLRC5	3.0	4e-14	1e-24	0.23	0.02756786	1
ADPGK	3.0	4e-08	2e-09	0.0215	0.002	1
NKX3-1	3.0	5e-09	4e-34	1.3157895	0.0355	1
PPP1CB	3.0	4e-08	1e-11	1.4	0.023553599999999997	1
NKX2-1	3.0	2e-09	2e-15	1.37	0.07	1
TRAF3IP3	3.0	5e-09	6e-10	0.02622983	0.02441044	1
PPP1R21	3.0	6e-09	3e-10	0.136242	0.029589999999999998	1
DAGLB	3.0	2e-08	1e-14	0.0386	0.024	1
ZNF678	3.0	5e-09	7e-24	0.04	0.0283	1
DAPK2	3.0	3e-08	3e-18	0.3768	0.2472325	1
NFKBIZ	3.0	4e-08	2e-10	1.18	1.1	1
AK1	3.0	1e-10	2e-18	0.04907607	0.03607593	1
NFIC	3.0	2e-08	2e-20	1.3157895	0.028999999999999998	1
NFE2	3.0	3e-13	4e-36	0.07841316	0.03377	1
NFATC4	3.0	1e-11	3e-22	1.16	0.031	1
PPP3R1	3.0	8e-09	8e-10	5.775	0.019	1
PPP4R4	3.0	9e-11	6e-23	0.33	0.040999999999999995	1
PPP5C	3.0	3e-08	2e-11	5.523	0.02259245	1
DBX1	3.0	4e-08	6e-11	0.05602000000000001	0.05602000000000001	1
ZNF641	3.0	1e-17	4e-36	0.04469711	0.03060888	1
NDUFAF6	3.0	4e-08	3e-10	4.26	0.0207665	1
PRDX5	3.0	2e-09	9e-14	1.32	1.07	1
DCAF5	3.0	4e-08	8e-42	5.482	0.018934965	1
PPARA	3.0	3e-08	2e-12	0.1895	0.031	1
POU5F1B	3.0	7e-16	1e-19	1.3888888000000001	1.2033695	1
AXIN2	3.0	2e-08	1e-14	0.028580599999999998	0.0265464	1
TTC17	3.0	3e-10	3e-13	0.0083	0.0081	1
ODF3B	3.0	2e-08	6e-54	1.1	0.03247	1
AZI1	3.0	3e-09	4e-11	1.0649627000000002	0.05	1
CPXM1	3.0	2e-09	1e-57	0.64	0.1034	1
OBP2B	3.0	4e-08	3e-33	11.6	0.17600000000000002	1
CXCR4	3.0	2e-11	3e-14	1.69	0.03129	1
OAF	3.0	2e-56	6e-194	1.011	0.68	1
NYNRIN	3.0	2e-08	3e-15	0.037000000000000005	0.03	1
TRIM33	3.0	4e-08	3e-14	1.4	0.031069299999999998	1
NUP62CL	3.0	1e-08	1e-32	2.5706830000000003	1.8754968999999997	1
NUP210L	3.0	5e-09	5e-14	0.02704886	0.02120509	1
CPSF2	3.0	6e-09	4e-21	3.7	0.036000000000000004	1
PNLIPRP3	3.0	4e-08	1e-12	10.15	0.017172113	1
NTN4	3.0	7e-18	1e-39	1.1	0.28	1
B9D2	3.0	4e-16	2e-17	0.054000000000000006	0.0484	1
NTM	3.0	3e-08	1e-15	6.854	1.061	1
AGXT	3.0	8e-10	3e-20	0.0861	0.02	1
CYP2C8	3.0	7e-14	3e-16	0.055	0.03	1
NR4A2	3.0	3e-09	2e-10	4.5	0.05	1
BANP	3.0	4e-12	2e-49	0.17	0.11	1
BARHL2	3.0	4e-08	2e-12	0.044000000000000004	0.002	1
CYP3A43	3.0	1e-11	2e-17	0.3	0.08567999999999999	1
NPIPB8	3.0	5e-09	1e-10	6.473	0.020475353999999998	1
BAX	3.0	3e-09	1e-11	0.03446205	0.03019831	1
POP7	3.0	1e-08	3e-38	0.287167	0.02979821	1
NPDC1	3.0	4e-10	1e-20	0.03521166	0.02399672	1
NPAS3	3.0	4e-08	9e-09	0.07200000000000001	0.016266428	1
POU2AF1	3.0	2e-08	2e-11	1.39	1.16	1
MAGI1	3.0	2e-08	2e-12	2.27	0.04	1
FETUB	3.0	1e-09	3e-25	0.4527	0.2662	1
MAEA	3.0	1e-08	2e-20	1.13	0.083	1
KLF9	3.0	3e-08	1e-09	0.04	0.016300113999999997	1
SEH1L	3.0	3e-08	7e-09	5.79	0.017264955	1
C2orf47	3.0	1e-08	3e-12	1.102	0.1843	1
RPAP2	3.0	2e-11	3e-34	0.1305191	0.07137411	1
KCNA4	3.0	2e-08	3e-16	3.19	0.035	1
IRX1	3.0	3e-08	1e-08	2.77	0.02263	1
SAMD4A	3.0	3e-08	5e-23	0.41100000000000003	0.02463193	1
C2orf54	3.0	1e-08	6e-12	0.087	0.022000000000000002	1
LCE3D	3.0	3e-10	2e-33	1.32	1.26	1
CA5A	3.0	2e-10	9e-13	0.02744918	0.02438734	1
ISG20	3.0	4e-11	7e-17	1.2642225	1.185	1
KLHL1	3.0	2e-11	6e-15	1.089	1.06	1
LARGE	3.0	4e-08	1e-08	5.51	0.028063327000000002	1
TMEM129	3.0	1e-11	7e-25	1.24	1.2	1
DYRK2	3.0	9e-10	1e-12	0.038755	0.0210225	1
EMP1	3.0	7e-13	3e-41	0.152895	0.09918610000000001	1
ISM2	3.0	5e-09	2e-12	0.03252267	0.02678818	1
TMEM108	3.0	4e-08	1e-08	2.3	0.9890000000000001	1
LEMD2	3.0	3e-08	1e-11	1.32	0.0242	1
IRAK1BP1	3.0	4e-09	2e-16	5.43	5.38	1
KYNU	3.0	2e-09	1e-81	1.048	0.5	1
YKT6	3.0	3e-24	1e-28	0.2441	0.15565135	1
KCNE1	3.0	2e-12	2e-18	11.7	2.69	1
SFN	3.0	1e-09	5e-14	0.03438564	0.02819207	1
LIF	3.0	2e-09	3e-14	1.25	1.08	1
SATB1	3.0	2e-08	3e-11	2.7569999999999997	0.0280832	1
LHX3	3.0	4e-08	2e-14	0.10800000000000001	0.039	1
CALU	3.0	4e-09	3e-10	0.14400000000000002	0.013999999999999999	1
ART3	3.0	4e-14	3e-35	0.34	0.3	1
SAMM50	3.0	3e-08	1e-18	1.6	0.026000000000000002	1
IP6K2	3.0	9e-09	2e-40	5.757000000000001	0.7897	1
C2CD4B	3.0	4e-08	4e-20	1.11	0.008	1
KLF7	3.0	6e-09	5e-11	0.02503171	0.02247999	1
ENPEP	3.0	9e-09	7e-13	1.661	0.124	1
ENOX1	3.0	3e-08	2e-09	1.085	0.308	1
LGR4	3.0	1e-10	2e-17	4.3	0.1245	1
DUSP14	3.0	5e-10	1e-11	0.02566215	0.02312815	1
TMEM154	3.0	7e-09	2e-15	1.08	0.061	1
THBS2	3.0	1e-08	7e-99	2.64	0.316	1
L3MBTL2	3.0	9e-09	6e-11	1.03	0.0354	1
KSR2	3.0	2e-08	2e-09	5.6011147	0.47100000000000003	1
ZMAT3	3.0	6e-09	4e-12	0.02898656	0.02431824	1
RTF1	3.0	5e-10	1e-12	1.033	0.02536171	1
CMKLR1	3.0	6e-12	2e-17	0.03115868	0.02524083	1
RWDD3	3.0	4e-09	2e-15	0.2461	0.03873772	1
FERMT3	3.0	1e-16	1e-26	0.21522449999999999	0.167884	1
RYR1	3.0	3e-16	4e-22	0.10337110000000001	0.08747665	1
KNTC1	3.0	3e-08	2e-11	0.19	0.003	1
TMA7	3.0	8e-20	1e-33	1.0649627000000002	0.05	1
KLRC1	3.0	5e-14	1e-18	0.04766279	0.04097578	1
CLGN	3.0	4e-12	3e-22	1.0649627000000002	0.05	1
KLK2	3.0	8e-10	6e-20	0.057999999999999996	0.034	1
AMZ1	3.0	2e-08	4e-23	1.24	0.0342	1
SERPINB13	3.0	2e-09	9e-11	0.02573811	0.02425462	1
TM4SF4	3.0	1e-08	2e-20	0.07279	0.037610000000000005	1
SAA1	3.0	3e-53	0.0	1.25	0.31	1
ALX4	3.0	6e-10	2e-19	1.1709602	0.027000000000000003	1
KLHL42	3.0	3e-08	3e-09	5.562922	0.2125	1
CACNA1S	3.0	2e-08	8e-17	0.10300000000000001	0.0083	1
S1PR2	3.0	2e-08	2e-09	0.12398219999999999	0.022000000000000002	1
RTKN2	3.0	4e-08	5e-09	1.2	1.07	1
KRT5	3.0	9e-09	1e-15	1.29	1.19	1
UBE4B	3.0	1e-10	2e-18	1.64	1.55	1
ITGA9	3.0	3e-08	4e-11	3.0335	0.8	1
RPS11	3.0	9e-13	1e-62	0.09654	0.0293	1
CA6	3.0	6e-12	4e-185	0.68	0.4781	1
CMTM6	3.0	4e-08	1e-08	0.0394	0.038	1
UBE3D	3.0	2e-11	5e-13	2.1276596000000003	0.025701400000000003	1
RPS6KA5	3.0	4e-08	2e-15	0.066	0.0468	1
TMCO5A	3.0	4e-08	5e-10	1.49	0.0489	1
SEMA5A	3.0	2e-12	0.0	1.43	0.0615	1
ITGA2B	3.0	2e-16	2e-37	0.04765577	0.03038476	1
ITGA8	3.0	2e-08	2e-08	1.0649627000000002	0.05	1
C4BPA	3.0	4e-12	1e-58	7.276	0.05033371	1
RRM2B	3.0	3e-10	3e-15	0.33	0.02893	1
RRP12	3.0	3e-10	1e-27	0.04169618	0.02538068	1
TMC8	3.0	4e-10	3e-11	0.22821999999999998	0.2145151	1
ZFAND6	3.0	2e-09	8e-14	1.06	0.02659047	1
ELOVL7	3.0	2e-11	6e-27	1.15	0.020599905	1
RSPH6A	3.0	1e-14	1e-17	0.05135329	0.046641699999999994	1
C6orf1	3.0	4e-08	5e-11	1.08	0.006109365699999999	1
CAMK2G	3.0	3e-08	2e-14	1.138	1.12	1
YES1	3.0	7e-10	3e-12	0.027639999999999998	0.02425	1
TGFBI	3.0	2e-08	5e-78	1.1	0.4488	1
C9	3.0	1e-14	3e-38	1.8	1.34	1
C9orf72	3.0	6e-10	4e-30	1.2245	1.1904762	1
ANKLE1	3.0	2e-09	3e-37	1.26	1.17	1
KCNG2	3.0	2e-08	4e-10	1.0626993	1.058	1
IL18RAP	3.0	2e-08	8e-18	1.001	0.02509048	1
RMI2	3.0	7e-09	7e-18	1.15	0.044000000000000004	1
DOCK9	3.0	4e-13	8e-29	0.042379400000000005	0.0357727	1
KDM4A	3.0	2e-09	1e-12	1.072	0.03	1
TIRAP	3.0	1e-10	2e-13	0.57	0.02658632	1
ANKFN1	3.0	1e-10	1e-24	0.0380293	0.0310225	1
ANK2	3.0	1e-08	5e-13	1.13	0.42	1
CNR2	3.0	1e-09	2e-11	0.024069999999999998	0.02187639	1
IL20RB	3.0	3e-08	9e-10	1.44	0.04	1
IL23A	3.0	6e-10	5e-12	1.55	1.4	1
IL2RB	3.0	2e-08	2e-16	1.1904762	0.02905811	1
LIN54	3.0	8e-09	6e-12	0.03327	0.02181981	1
KEL	3.0	7e-09	2e-15	0.1338973	0.09839432	1
DPP8	3.0	6e-09	1e-15	0.03673030000000001	0.02673046	1
IL5	3.0	2e-09	9e-19	7.1	0.062220000000000004	1
EPRS	3.0	3e-15	5e-19	0.04187391	0.0366589	1
C9orf69	3.0	2e-16	5e-36	1.0649627000000002	0.05	1
LRRIQ3	3.0	2e-09	2e-12	1.078	1.0490000000000002	1
LSM4	3.0	9e-10	4e-13	0.05570995	0.04742117	1
CNTNAP5	3.0	2e-08	8e-10	3.18	1.067	1
DNER	3.0	3e-09	4e-13	0.015	0.0002	1
DNMT1	3.0	1e-15	7e-26	0.048387599999999996	0.03780359	1
CNTNAP2	3.0	1e-09	1e-60	1.0778457000000001	0.43	1
RGS9	3.0	4e-08	2e-12	5.5489999999999995	0.0262795	1
LYPLA1	3.0	8e-22	9e-31	0.031	0.024	1
ALG10B	3.0	2e-08	2e-13	1.07	0.2084	1
CLN3	3.0	2e-08	1e-10	6.292999999999999	0.01736953	1
DOCK1	3.0	4e-08	9e-10	0.1	0.06	1
LUZP2	3.0	5e-09	1e-18	1.141	1.0604453999999999	1
C1orf167	3.0	3e-09	7e-17	0.156	0.156	1
CNTN3	3.0	8e-09	1e-09	0.32799999999999996	0.033456900000000005	1
LTA	3.0	4e-15	6e-72	0.07418746	0.03213321	1
KCNU1	3.0	3e-09	7e-31	1.05	0.151	1
LSMD1	3.0	3e-09	2e-09	0.02337324	0.02311696	1
TINAGL1	3.0	9e-09	1e-09	6.105	0.017660322	1
KCTD17	3.0	2e-08	1e-69	0.14	0.012	1
C1orf63	3.0	2e-09	1e-20	0.09	0.02916971	1
SERPINA3	3.0	3e-12	2e-15	0.4323	0.06069	1
C1RL	3.0	1e-15	6e-61	1.91	0.35	1
LNX2	3.0	2e-08	2e-13	0.06207537	0.016896125	1
KIAA1919	3.0	6e-10	1e-16	1.27	1.27	1
TKTL1	3.0	4e-08	4e-18	1.41	0.1614	1
ASAH1	3.0	6e-10	2e-19	1.1	1.07	1
RNF43	3.0	2e-08	1e-11	1.05	0.03228479	1
INO80	3.0	3e-08	1e-10	0.13	0.005	1
TMEM206	3.0	2e-14	1e-16	0.03014371	0.02804631	1
INHBC	3.0	2e-09	2e-25	5.16	0.0061	1
CANX	3.0	9e-09	2e-10	0.02283249	0.02230376	1
CAMKMT	3.0	8e-09	8e-12	5.766	0.027999999999999997	1
TGFBR3	3.0	3e-08	3e-28	9.31	0.026000000000000002	1
SGCZ	3.0	4e-09	3e-11	6.6339999999999995	0.017547108	1
SCAMP2	3.0	5e-11	2e-36	0.02794903	0.02376081	1
ARSA	3.0	3e-08	7e-18	0.028999999999999998	0.0074	1
SCN3B	3.0	4e-24	4e-58	1.64	1.62	1
LMO2	3.0	3e-10	2e-19	0.03225142	0.02273278	1
IL6	3.0	3e-08	4e-11	1.6393441999999998	0.10099999999999999	1
TK1	3.0	3e-10	3e-15	0.127707	0.1017704	1
EPB41L2	3.0	8e-10	8e-17	0.0301183	0.02573725	1
KIF3A	3.0	4e-08	1e-10	1.11	0.0397962	1
RNF128	3.0	2e-09	1e-24	2.5756361	2.1411645	1
LRFN5	3.0	3e-09	1e-19	9.09	1.0309278	1
LRBA	3.0	4e-08	5e-09	2.1	0.066	1
LOH12CR1	3.0	1e-08	3e-14	1.058	0.1005446	1
LPCAT3	3.0	2e-08	2e-17	0.539	0.05470084	1
INO80D	3.0	8e-09	1e-23	0.25	0.018581709	1
DSP	3.0	4e-09	8e-28	1.44	1.09	1
ANGPTL1	3.0	7e-09	5e-68	0.43	0.021	1
IL7	3.0	1e-10	7e-32	0.04909823	0.02673554	1
TLK1	3.0	7e-10	3e-19	0.196	0.02591091	1
DRAP1	3.0	5e-14	3e-17	12.9	0.02716644	1
FBN2	2.0	3e-08	8e-12	0.344	0.0848	1
EIF4G3	2.0	4e-08	8e-09	969.5	0.5951	1
ELP3	2.0	4e-08	5e-09	0.042	0.015	1
TRIM27	2.0	3e-11	4e-19	0.002	0.002	1
ELP4	2.0	2e-08	6e-10	1.92	0.033	1
THSD7A	2.0	1e-10	1e-25	1.28	1.0869565	1
ARHGAP6	2.0	1e-08	2e-13	1.1	1.07	1
TREML2	2.0	1e-10	5e-86	0.69	0.03357624	1
EIF5	2.0	8e-11	4e-12	0.04332	0.013999999999999999	1
CYB561	2.0	4e-12	2e-14	0.198	0.198	1
CYP27C1	2.0	4e-09	7e-24	0.53	0.2	1
FBN3	2.0	3e-13	8e-21	0.9173	0.29578000000000004	1
ELAVL4	2.0	1e-08	6e-09	0.018000000000000002	0.017	1
FBLN1	2.0	2e-08	3e-14	1.06	0.02786848	1
CYP1A2	2.0	5e-09	3e-10	0.03918	0.02377885	1
FBP1	2.0	1e-08	1e-08	1.0649627000000002	0.05	1
TENM2	2.0	7e-09	1e-11	1.0309278	0.05	1
CYB5B	2.0	1e-08	4e-09	0.03315	0.03315	1
CYFIP2	2.0	5e-13	2e-14	0.054000000000000006	0.03928	1
CYHR1	2.0	1e-08	6e-09	5.718999999999999	0.099	1
ELOVL5	2.0	4e-09	8e-10	1.83	1.77	1
ELK3	2.0	8e-09	3e-09	1.87	1.19	1
CYP2D6	2.0	3e-08	4e-09	1.0638298000000002	1.06	1
CYP27A1	2.0	1e-11	1e-12	0.02640964	0.02527397	1
FBXO45	2.0	3e-08	2e-12	1.1449506999999999	1.07	1
CXCR1	2.0	3e-11	4e-13	0.055470000000000005	0.03798	1
FECH	2.0	6e-09	7e-12	0.0293	0.02483	1
EPB41L4B	2.0	3e-08	2e-08	0.017	0.017	1
SYMPK	2.0	2e-08	2e-17	1.64	0.05245408	1
SYK	2.0	7e-11	2e-11	2.2	0.02431415	1
CTDP1	2.0	8e-09	5e-10	0.05	0.02135211	1
TRMT1	2.0	7e-09	4e-09	0.02883879	0.02828188	1
FCGRT	2.0	3e-08	6e-09	0.107	0.0134	1
CTBP2	2.0	4e-08	3e-10	1.06	0.03	1
EPHA2	2.0	3e-19	1e-36	3.8	0.06774	1
CST9	2.0	9e-09	2e-138	1.0649627000000002	0.05	1
CST6	2.0	4e-14	3e-15	0.6	0.57	1
CST4	2.0	1e-12	2e-16	0.5621	0.4936	1
FCRL1	2.0	2e-10	6e-26	1.08	0.26	1
EPHB4	2.0	3e-15	1e-23	0.1091491	0.08569363	1
EPB41L1	2.0	1e-09	6e-12	1.21	0.0317	1
CSRNP3	2.0	2e-11	6e-16	0.0556	0.0521	1
TGFB1	2.0	4e-08	1e-08	1.09	1.048	1
CSNK1G1	2.0	2e-11	8e-25	0.05643542	0.03700482	1
TRPV4	2.0	5e-09	3e-09	0.02743	0.026389999999999997	1
CSH1	2.0	2e-12	3e-14	1.19	0.036000000000000004	1
TFF1	2.0	4e-13	4e-14	1.27	0.22	1
CSF2	2.0	3e-10	1e-52	1.158	1.12	1
TFEC	2.0	1e-09	2e-20	0.1574	0.12	1
CS	2.0	3e-09	3e-12	1.47	0.12300000000000001	1
TSHR	2.0	7e-24	1e-38	1.54	1.35	1
TFEB	2.0	4e-08	1e-08	1.11	0.02412	1
TSHZ1	2.0	4e-08	3e-09	1.05	0.047	1
CTNNA2	2.0	4e-08	1e-08	0.18	0.024	1
CTRB1	2.0	4e-09	2e-157	1.3524479999999999	0.65	1
EMC8	2.0	9e-11	7e-11	0.03248523	0.03240836	1
AQP9	2.0	2e-08	3e-27	0.0334	0.0334	1
SYT11	2.0	1e-09	4e-12	1.47	0.016	1
ETFA	2.0	6e-09	2e-13	1.36	1.35	1
CXCL13	2.0	5e-10	5e-10	1.09	1.0881393	1
AQP10	2.0	9e-10	2e-10	0.02544121	0.02466982	1
ESYT2	2.0	2e-08	2e-25	23.19	0.0547073	1
TRIM46	2.0	5e-11	6e-19	1.05	0.05	1
CWC27	2.0	2e-10	5e-11	2.4	1.4	1
THOC1	2.0	5e-09	1e-09	0.05	0.05	1
THNSL2	2.0	2e-08	8e-10	1.23	1.23	1
ESD	2.0	2e-52	1e-88	1.061	0.81	1
ABCG4	2.0	8e-09	2e-09	0.0245625	0.02188607	1
SYNPO2	2.0	2e-08	2e-08	1.11	1.09	1
ERRFI1	2.0	4e-08	9e-14	0.17242767	0.03	1
FCER2	2.0	4e-14	6e-36	0.3277	0.31	1
THEMIS	2.0	6e-09	3e-14	1.17	1.1	1
EIF4E3	2.0	1e-11	2e-14	0.03031825	0.02692521	1
CUL2	2.0	6e-12	4e-14	1.0649627000000002	0.05	1
TEX29	2.0	1e-08	2e-17	0.05	0.026000000000000002	1
CTU1	2.0	4e-12	3e-73	0.7635	0.4915	1
TRIM6	2.0	9e-09	8e-10	0.4777	0.4689	1
THBS4	2.0	5e-11	4e-11	0.0927	0.092	1
CTTNBP2	2.0	2e-08	1e-08	1.0869565	0.08199999999999999	1
ENO1	2.0	1e-09	3e-16	0.02979656	0.02121351	1
ENTPD5	2.0	1e-60	8e-87	1.339	0.97	1
CTSF	2.0	8e-12	3e-18	0.23	0.17	1
CTRC	2.0	8e-10	3e-22	1.8345259999999999	1.3197	1
CYP46A1	2.0	5e-16	3e-16	0.061	0.0539	1
DCDC1	2.0	2e-10	2e-11	0.02981373	0.02865326	1
CYP4V2	2.0	4e-12	4e-12	0.4706	0.4706	1
DHX15	2.0	2e-10	3e-26	0.46299999999999997	0.46299999999999997	1
DHCR7	2.0	5e-16	1e-20	8.125	1.23	1
TNFAIP6	2.0	2e-11	6e-118	0.55	0.402	1
TBC1D8B	2.0	1e-12	4e-13	2.313175	1.7051136000000002	1
FAM177A1	2.0	2e-08	1e-144	0.81	0.81	1
DHRS3	2.0	2e-08	1e-10	0.016	0.016	1
TBKBP1	2.0	2e-08	3e-09	0.0227	0.0227	1
TMTC1	2.0	4e-08	2e-11	1.0672358	1.0626993	1
TMEM175	2.0	1e-43	1e-50	1.27	1.23	1
DHX35	2.0	2e-09	2e-22	1.1481056	0.28300000000000003	1
TBPL2	2.0	1e-08	3e-10	0.197509	0.02934587	1
TCHHL1	2.0	2e-82	2e-152	0.23	0.22952381	1
DHX58	2.0	7e-09	2e-10	0.0543	0.0423	1
TMEM182	2.0	4e-08	3e-08	14.4	1.06	1
DIAPH3	2.0	3e-08	5e-09	5.55539	5.55539	1
DGUOK	2.0	6e-14	7e-17	1.3333	1.2658	1
TMEM171	2.0	4e-11	1e-11	0.039	0.02421	1
EIF4E	2.0	3e-08	1e-08	0.15	0.15	1
DERL3	2.0	9e-11	7e-11	0.06724	0.06682	1
TNFSF12	2.0	1e-11	2e-49	1.115	0.39	1
TMEM150B	2.0	5e-11	1e-59	0.41600000000000004	0.41600000000000004	1
ABLIM3	2.0	7e-11	4e-11	0.25575662	0.026000000000000002	1
TAT	2.0	4e-13	2e-17	0.15	0.15	1
TNFRSF9	2.0	3e-09	1e-15	1.112	1.11	1
ABR	2.0	1e-08	2e-15	0.0323695	0.0280376	1
DEXI	2.0	4e-10	3e-22	1.2195122	1.14	1
TCN2	2.0	8e-10	4e-256	1.87	0.72	1
DFNB31	2.0	2e-08	9e-09	0.18	0.06	1
TNFRSF14	2.0	3e-08	2e-11	1.042	1.042	1
TMEM160	2.0	2e-12	4e-13	0.09	0.002	1
FABP6	2.0	3e-17	2e-31	0.049	0.04605	1
FAM19A5	2.0	4e-09	1e-10	1.25	0.027999999999999997	1
FAM19A2	2.0	3e-08	2e-08	0.0261	0.0261	1
TMEM184B	2.0	3e-08	5e-09	0.11	0.1	1
DICER1	2.0	9e-10	3e-10	0.0384349	0.0384349	1
DIEXF	2.0	1e-08	2e-11	1.08	0.026000000000000002	1
DOCK4	2.0	2e-08	7e-11	1.08	0.24100000000000002	1
FAM129B	2.0	2e-10	1e-10	0.041146800000000004	0.0319678	1
DMP1	2.0	8e-10	8e-14	0.030439099999999997	0.028130400000000003	1
DOCK6	2.0	2e-08	3e-09	0.64	0.0567	1
DMXL2	2.0	2e-08	7e-09	0.027454171	0.018000000000000002	1
DOCK5	2.0	3e-08	3e-08	0.158	0.158	1
FAM105A	2.0	2e-08	1e-12	1.071	0.028919999999999998	1
DNAH9	2.0	3e-10	3e-12	1.0649627000000002	0.05	1
DRG1	2.0	8e-09	5e-09	0.02111264	0.02074905	1
FAM107B	2.0	3e-10	2e-14	0.0999	0.02935798	1
TCERG1L	2.0	3e-08	3e-08	1.27	0.3	1
TMEM56	2.0	3e-11	2e-18	0.17800000000000002	0.1651	1
TCF12	2.0	2e-08	2e-18	0.03895031	0.02	1
DNAJC24	2.0	8e-09	9e-13	1.95	0.02853268	1
DNALI1	2.0	1e-09	1e-10	0.113	0.081	1
DPF3	2.0	2e-08	2e-24	1.21	0.077	1
TMEM8A	2.0	3e-08	1e-15	0.2	0.1329	1
TCF7L1	2.0	2e-08	1e-08	0.17600000000000002	0.0324	1
FAM102A	2.0	3e-08	2e-10	0.054279999999999995	0.0376	1
FAM133B	2.0	2e-09	4e-12	0.0371021	0.0324802	1
DMC1	2.0	3e-10	2e-13	0.16	0.026539999999999998	1
DPH6	2.0	6e-17	3e-27	1.22	1.1049723999999999	1
DMBX1	2.0	4e-09	2e-12	0.025	0.024	1
DPM2	2.0	5e-11	8e-12	1.15	1.15	1
